filename,label,writer_id,folder,source_relative,simple_relative,full_relative,fixed_simple_relative,fixed_full_relative,full_roi_valid,full_foreground_pixels,full_threshold,full_roi_left,full_roi_top,full_roi_right,full_roi_bottom
m1_0_01.jpg,0,m1,0,0/m1_0_01.jpg,processed_simple/0/m1_0_01.pgm,processed_full/0/m1_0_01.pgm,fixed_input/simple/0/m1_0_01.txt,fixed_input/full/0/m1_0_01.txt,1,704,88,32,32,62,83
m1_0_02.jpg,0,m1,0,0/m1_0_02.jpg,processed_simple/0/m1_0_02.pgm,processed_full/0/m1_0_02.pgm,fixed_input/simple/0/m1_0_02.txt,fixed_input/full/0/m1_0_02.txt,1,739,93,33,33,68,80
m1_0_03.jpg,0,m1,0,0/m1_0_03.jpg,processed_simple/0/m1_0_03.pgm,processed_full/0/m1_0_03.pgm,fixed_input/simple/0/m1_0_03.txt,fixed_input/full/0/m1_0_03.txt,1,695,91,32,32,66,81
m1_0_04.jpg,0,m1,0,0/m1_0_04.jpg,processed_simple/0/m1_0_04.pgm,processed_full/0/m1_0_04.pgm,fixed_input/simple/0/m1_0_04.txt,fixed_input/full/0/m1_0_04.txt,1,686,91,32,33,66,82
m1_0_05.jpg,0,m1,0,0/m1_0_05.jpg,processed_simple/0/m1_0_05.pgm,processed_full/0/m1_0_05.pgm,fixed_input/simple/0/m1_0_05.txt,fixed_input/full/0/m1_0_05.txt,1,775,89,33,32,67,83
m1_1_01.jpg,1,m1,1,1/m1_1_01.jpg,processed_simple/1/m1_1_01.pgm,processed_full/1/m1_1_01.pgm,fixed_input/simple/1/m1_1_01.txt,fixed_input/full/1/m1_1_01.txt,1,714,105,32,32,69,93
m1_1_02.jpg,1,m1,1,1/m1_1_02.jpg,processed_simple/1/m1_1_02.pgm,processed_full/1/m1_1_02.pgm,fixed_input/simple/1/m1_1_02.txt,fixed_input/full/1/m1_1_02.txt,1,317,108,33,33,43,81
m1_1_03.jpg,1,m1,1,1/m1_1_03.jpg,processed_simple/1/m1_1_03.pgm,processed_full/1/m1_1_03.pgm,fixed_input/simple/1/m1_1_03.txt,fixed_input/full/1/m1_1_03.txt,1,373,104,32,32,46,82
m1_1_04.jpg,1,m1,1,1/m1_1_04.jpg,processed_simple/1/m1_1_04.pgm,processed_full/1/m1_1_04.pgm,fixed_input/simple/1/m1_1_04.txt,fixed_input/full/1/m1_1_04.txt,1,330,103,32,32,41,83
m1_1_05.jpg,1,m1,1,1/m1_1_05.jpg,processed_simple/1/m1_1_05.pgm,processed_full/1/m1_1_05.pgm,fixed_input/simple/1/m1_1_05.txt,fixed_input/full/1/m1_1_05.txt,1,363,100,16,32,45,97
m1_2_01.jpg,2,m1,2,2/m1_2_01.jpg,processed_simple/2/m1_2_01.pgm,processed_full/2/m1_2_01.pgm,fixed_input/simple/2/m1_2_01.txt,fixed_input/full/2/m1_2_01.txt,1,673,103,33,32,81,71
m1_2_02.jpg,2,m1,2,2/m1_2_02.jpg,processed_simple/2/m1_2_02.pgm,processed_full/2/m1_2_02.pgm,fixed_input/simple/2/m1_2_02.txt,fixed_input/full/2/m1_2_02.txt,1,690,105,32,32,83,79
m1_2_03.jpg,2,m1,2,2/m1_2_03.jpg,processed_simple/2/m1_2_03.pgm,processed_full/2/m1_2_03.pgm,fixed_input/simple/2/m1_2_03.txt,fixed_input/full/2/m1_2_03.txt,1,828,104,33,32,84,94
m1_2_04.jpg,2,m1,2,2/m1_2_04.jpg,processed_simple/2/m1_2_04.pgm,processed_full/2/m1_2_04.pgm,fixed_input/simple/2/m1_2_04.txt,fixed_input/full/2/m1_2_04.txt,1,702,100,32,32,85,77
m1_2_05.jpg,2,m1,2,2/m1_2_05.jpg,processed_simple/2/m1_2_05.pgm,processed_full/2/m1_2_05.pgm,fixed_input/simple/2/m1_2_05.txt,fixed_input/full/2/m1_2_05.txt,1,567,96,32,32,77,78
m1_3_01.jpg,3,m1,3,3/m1_3_01.jpg,processed_simple/3/m1_3_01.pgm,processed_full/3/m1_3_01.pgm,fixed_input/simple/3/m1_3_01.txt,fixed_input/full/3/m1_3_01.txt,1,903,102,32,32,84,105
m1_3_02.jpg,3,m1,3,3/m1_3_02.jpg,processed_simple/3/m1_3_02.pgm,processed_full/3/m1_3_02.pgm,fixed_input/simple/3/m1_3_02.txt,fixed_input/full/3/m1_3_02.txt,1,776,101,32,32,68,99
m1_3_03.jpg,3,m1,3,3/m1_3_03.jpg,processed_simple/3/m1_3_03.pgm,processed_full/3/m1_3_03.pgm,fixed_input/simple/3/m1_3_03.txt,fixed_input/full/3/m1_3_03.txt,1,815,103,32,32,67,104
m1_3_04.jpg,3,m1,3,3/m1_3_04.jpg,processed_simple/3/m1_3_04.pgm,processed_full/3/m1_3_04.pgm,fixed_input/simple/3/m1_3_04.txt,fixed_input/full/3/m1_3_04.txt,1,680,95,32,32,69,89
m1_3_05.jpg,3,m1,3,3/m1_3_05.jpg,processed_simple/3/m1_3_05.pgm,processed_full/3/m1_3_05.pgm,fixed_input/simple/3/m1_3_05.txt,fixed_input/full/3/m1_3_05.txt,1,608,93,33,33,67,103
m1_4_01.jpg,4,m1,4,4/m1_4_01.jpg,processed_simple/4/m1_4_01.pgm,processed_full/4/m1_4_01.pgm,fixed_input/simple/4/m1_4_01.txt,fixed_input/full/4/m1_4_01.txt,1,885,99,33,33,83,95
m1_4_02.jpg,4,m1,4,4/m1_4_02.jpg,processed_simple/4/m1_4_02.pgm,processed_full/4/m1_4_02.pgm,fixed_input/simple/4/m1_4_02.txt,fixed_input/full/4/m1_4_02.txt,1,912,102,33,32,83,102
m1_4_03.jpg,4,m1,4,4/m1_4_03.jpg,processed_simple/4/m1_4_03.pgm,processed_full/4/m1_4_03.pgm,fixed_input/simple/4/m1_4_03.txt,fixed_input/full/4/m1_4_03.txt,1,1009,97,32,33,84,100
m1_4_04.jpg,4,m1,4,4/m1_4_04.jpg,processed_simple/4/m1_4_04.pgm,processed_full/4/m1_4_04.pgm,fixed_input/simple/4/m1_4_04.txt,fixed_input/full/4/m1_4_04.txt,1,849,91,33,33,83,98
m1_4_05.jpg,4,m1,4,4/m1_4_05.jpg,processed_simple/4/m1_4_05.pgm,processed_full/4/m1_4_05.pgm,fixed_input/simple/4/m1_4_05.txt,fixed_input/full/4/m1_4_05.txt,1,897,89,32,33,80,105
m1_5_01.jpg,5,m1,5,5/m1_5_01.jpg,processed_simple/5/m1_5_01.pgm,processed_full/5/m1_5_01.pgm,fixed_input/simple/5/m1_5_01.txt,fixed_input/full/5/m1_5_01.txt,1,921,99,33,33,84,93
m1_5_02.jpg,5,m1,5,5/m1_5_02.jpg,processed_simple/5/m1_5_02.pgm,processed_full/5/m1_5_02.pgm,fixed_input/simple/5/m1_5_02.txt,fixed_input/full/5/m1_5_02.txt,1,947,97,32,32,84,93
m1_5_03.jpg,5,m1,5,5/m1_5_03.jpg,processed_simple/5/m1_5_03.pgm,processed_full/5/m1_5_03.pgm,fixed_input/simple/5/m1_5_03.txt,fixed_input/full/5/m1_5_03.txt,1,879,96,33,33,86,87
m1_5_04.jpg,5,m1,5,5/m1_5_04.jpg,processed_simple/5/m1_5_04.pgm,processed_full/5/m1_5_04.pgm,fixed_input/simple/5/m1_5_04.txt,fixed_input/full/5/m1_5_04.txt,1,792,92,32,32,74,92
m1_5_05.jpg,5,m1,5,5/m1_5_05.jpg,processed_simple/5/m1_5_05.pgm,processed_full/5/m1_5_05.pgm,fixed_input/simple/5/m1_5_05.txt,fixed_input/full/5/m1_5_05.txt,1,741,88,33,32,82,87
m1_6_01.jpg,6,m1,6,6/m1_6_01.jpg,processed_simple/6/m1_6_01.pgm,processed_full/6/m1_6_01.pgm,fixed_input/simple/6/m1_6_01.txt,fixed_input/full/6/m1_6_01.txt,1,779,96,32,32,64,107
m1_6_02.jpg,6,m1,6,6/m1_6_02.jpg,processed_simple/6/m1_6_02.pgm,processed_full/6/m1_6_02.pgm,fixed_input/simple/6/m1_6_02.txt,fixed_input/full/6/m1_6_02.txt,1,904,94,32,33,72,100
m1_6_03.jpg,6,m1,6,6/m1_6_03.jpg,processed_simple/6/m1_6_03.pgm,processed_full/6/m1_6_03.pgm,fixed_input/simple/6/m1_6_03.txt,fixed_input/full/6/m1_6_03.txt,1,761,94,33,33,67,91
m1_6_04.jpg,6,m1,6,6/m1_6_04.jpg,processed_simple/6/m1_6_04.pgm,processed_full/6/m1_6_04.pgm,fixed_input/simple/6/m1_6_04.txt,fixed_input/full/6/m1_6_04.txt,1,750,89,33,32,70,93
m1_6_05.jpg,6,m1,6,6/m1_6_05.jpg,processed_simple/6/m1_6_05.pgm,processed_full/6/m1_6_05.pgm,fixed_input/simple/6/m1_6_05.txt,fixed_input/full/6/m1_6_05.txt,1,711,88,32,33,66,93
m1_7_01.jpg,7,m1,7,7/m1_7_01.jpg,processed_simple/7/m1_7_01.pgm,processed_full/7/m1_7_01.pgm,fixed_input/simple/7/m1_7_01.txt,fixed_input/full/7/m1_7_01.txt,1,669,93,32,33,74,98
m1_7_02.jpg,7,m1,7,7/m1_7_02.jpg,processed_simple/7/m1_7_02.pgm,processed_full/7/m1_7_02.pgm,fixed_input/simple/7/m1_7_02.txt,fixed_input/full/7/m1_7_02.txt,1,769,95,32,32,79,92
m1_7_03.jpg,7,m1,7,7/m1_7_03.jpg,processed_simple/7/m1_7_03.pgm,processed_full/7/m1_7_03.pgm,fixed_input/simple/7/m1_7_03.txt,fixed_input/full/7/m1_7_03.txt,1,708,91,32,32,76,88
m1_7_04.jpg,7,m1,7,7/m1_7_04.jpg,processed_simple/7/m1_7_04.pgm,processed_full/7/m1_7_04.pgm,fixed_input/simple/7/m1_7_04.txt,fixed_input/full/7/m1_7_04.txt,1,645,91,33,32,72,88
m1_7_05.jpg,7,m1,7,7/m1_7_05.jpg,processed_simple/7/m1_7_05.pgm,processed_full/7/m1_7_05.pgm,fixed_input/simple/7/m1_7_05.txt,fixed_input/full/7/m1_7_05.txt,1,710,88,32,33,77,95
m1_8_01.jpg,8,m1,8,8/m1_8_01.jpg,processed_simple/8/m1_8_01.pgm,processed_full/8/m1_8_01.pgm,fixed_input/simple/8/m1_8_01.txt,fixed_input/full/8/m1_8_01.txt,1,1179,90,32,32,93,93
m1_8_02.jpg,8,m1,8,8/m1_8_02.jpg,processed_simple/8/m1_8_02.pgm,processed_full/8/m1_8_02.pgm,fixed_input/simple/8/m1_8_02.txt,fixed_input/full/8/m1_8_02.txt,1,1154,94,32,32,80,98
m1_8_03.jpg,8,m1,8,8/m1_8_03.jpg,processed_simple/8/m1_8_03.pgm,processed_full/8/m1_8_03.pgm,fixed_input/simple/8/m1_8_03.txt,fixed_input/full/8/m1_8_03.txt,1,1036,92,33,33,91,91
m1_8_04.jpg,8,m1,8,8/m1_8_04.jpg,processed_simple/8/m1_8_04.pgm,processed_full/8/m1_8_04.pgm,fixed_input/simple/8/m1_8_04.txt,fixed_input/full/8/m1_8_04.txt,1,1057,89,32,32,83,99
m1_8_05.jpg,8,m1,8,8/m1_8_05.jpg,processed_simple/8/m1_8_05.pgm,processed_full/8/m1_8_05.pgm,fixed_input/simple/8/m1_8_05.txt,fixed_input/full/8/m1_8_05.txt,1,932,87,33,32,80,90
m1_9_01.jpg,9,m1,9,9/m1_9_01.jpg,processed_simple/9/m1_9_01.pgm,processed_full/9/m1_9_01.pgm,fixed_input/simple/9/m1_9_01.txt,fixed_input/full/9/m1_9_01.txt,1,1032,89,32,32,77,102
m1_9_02.jpg,9,m1,9,9/m1_9_02.jpg,processed_simple/9/m1_9_02.pgm,processed_full/9/m1_9_02.pgm,fixed_input/simple/9/m1_9_02.txt,fixed_input/full/9/m1_9_02.txt,1,1075,94,33,33,81,112
m1_9_03.jpg,9,m1,9,9/m1_9_03.jpg,processed_simple/9/m1_9_03.pgm,processed_full/9/m1_9_03.pgm,fixed_input/simple/9/m1_9_03.txt,fixed_input/full/9/m1_9_03.txt,1,945,91,32,32,78,93
m1_9_04.jpg,9,m1,9,9/m1_9_04.jpg,processed_simple/9/m1_9_04.pgm,processed_full/9/m1_9_04.pgm,fixed_input/simple/9/m1_9_04.txt,fixed_input/full/9/m1_9_04.txt,1,932,88,33,32,79,89
m1_9_05.jpg,9,m1,9,9/m1_9_05.jpg,processed_simple/9/m1_9_05.pgm,processed_full/9/m1_9_05.pgm,fixed_input/simple/9/m1_9_05.txt,fixed_input/full/9/m1_9_05.txt,1,880,88,32,22,75,89
