"filename","label","writer_id","folder","source_relative","rgb_relative","width","height"
"m1_0_01.jpg","0","m1","0","0/m1_0_01.jpg","0/m1_0_01.ppm","96","117"
"m1_0_02.jpg","0","m1","0","0/m1_0_02.jpg","0/m1_0_02.ppm","102","113"
"m1_0_03.jpg","0","m1","0","0/m1_0_03.jpg","0/m1_0_03.ppm","100","114"
"m1_0_04.jpg","0","m1","0","0/m1_0_04.jpg","0/m1_0_04.ppm","99","115"
"m1_0_05.jpg","0","m1","0","0/m1_0_05.jpg","0/m1_0_05.ppm","100","116"
"m1_1_01.jpg","1","m1","1","1/m1_1_01.jpg","1/m1_1_01.ppm","102","127"
"m1_1_02.jpg","1","m1","1","1/m1_1_02.jpg","1/m1_1_02.ppm","76","114"
"m1_1_03.jpg","1","m1","1","1/m1_1_03.jpg","1/m1_1_03.ppm","79","115"
"m1_1_04.jpg","1","m1","1","1/m1_1_04.jpg","1/m1_1_04.ppm","75","117"
"m1_1_05.jpg","1","m1","1","1/m1_1_05.jpg","1/m1_1_05.ppm","79","122"
"m1_2_01.jpg","2","m1","2","2/m1_2_01.jpg","2/m1_2_01.ppm","114","104"
"m1_2_02.jpg","2","m1","2","2/m1_2_02.jpg","2/m1_2_02.ppm","116","112"
"m1_2_03.jpg","2","m1","2","2/m1_2_03.jpg","2/m1_2_03.ppm","117","127"
"m1_2_04.jpg","2","m1","2","2/m1_2_04.jpg","2/m1_2_04.ppm","118","110"
"m1_2_05.jpg","2","m1","2","2/m1_2_05.jpg","2/m1_2_05.ppm","111","111"
"m1_3_01.jpg","3","m1","3","3/m1_3_01.jpg","3/m1_3_01.ppm","117","138"
"m1_3_02.jpg","3","m1","3","3/m1_3_02.jpg","3/m1_3_02.ppm","101","132"
"m1_3_03.jpg","3","m1","3","3/m1_3_03.jpg","3/m1_3_03.ppm","101","137"
"m1_3_04.jpg","3","m1","3","3/m1_3_04.jpg","3/m1_3_04.ppm","103","123"
"m1_3_05.jpg","3","m1","3","3/m1_3_05.jpg","3/m1_3_05.ppm","101","136"
"m1_4_01.jpg","4","m1","4","4/m1_4_01.jpg","4/m1_4_01.ppm","117","128"
"m1_4_02.jpg","4","m1","4","4/m1_4_02.jpg","4/m1_4_02.ppm","116","136"
"m1_4_03.jpg","4","m1","4","4/m1_4_03.jpg","4/m1_4_03.ppm","117","133"
"m1_4_04.jpg","4","m1","4","4/m1_4_04.jpg","4/m1_4_04.ppm","116","131"
"m1_4_05.jpg","4","m1","4","4/m1_4_05.jpg","4/m1_4_05.ppm","113","139"
"m1_5_01.jpg","5","m1","5","5/m1_5_01.jpg","5/m1_5_01.ppm","117","126"
"m1_5_02.jpg","5","m1","5","5/m1_5_02.jpg","5/m1_5_02.ppm","117","126"
"m1_5_03.jpg","5","m1","5","5/m1_5_03.jpg","5/m1_5_03.ppm","119","121"
"m1_5_04.jpg","5","m1","5","5/m1_5_04.jpg","5/m1_5_04.ppm","107","125"
"m1_5_05.jpg","5","m1","5","5/m1_5_05.jpg","5/m1_5_05.ppm","115","121"
"m1_6_01.jpg","6","m1","6","6/m1_6_01.jpg","6/m1_6_01.ppm","97","140"
"m1_6_02.jpg","6","m1","6","6/m1_6_02.jpg","6/m1_6_02.ppm","105","133"
"m1_6_03.jpg","6","m1","6","6/m1_6_03.jpg","6/m1_6_03.ppm","100","125"
"m1_6_04.jpg","6","m1","6","6/m1_6_04.jpg","6/m1_6_04.ppm","103","126"
"m1_6_05.jpg","6","m1","6","6/m1_6_05.jpg","6/m1_6_05.ppm","99","126"
"m1_7_01.jpg","7","m1","7","7/m1_7_01.jpg","7/m1_7_01.ppm","108","131"
"m1_7_02.jpg","7","m1","7","7/m1_7_02.jpg","7/m1_7_02.ppm","112","125"
"m1_7_03.jpg","7","m1","7","7/m1_7_03.jpg","7/m1_7_03.ppm","110","121"
"m1_7_04.jpg","7","m1","7","7/m1_7_04.jpg","7/m1_7_04.ppm","105","121"
"m1_7_05.jpg","7","m1","7","7/m1_7_05.jpg","7/m1_7_05.ppm","110","128"
"m1_8_01.jpg","8","m1","8","8/m1_8_01.jpg","8/m1_8_01.ppm","126","126"
"m1_8_02.jpg","8","m1","8","8/m1_8_02.jpg","8/m1_8_02.ppm","114","131"
"m1_8_03.jpg","8","m1","8","8/m1_8_03.jpg","8/m1_8_03.ppm","124","124"
"m1_8_04.jpg","8","m1","8","8/m1_8_04.jpg","8/m1_8_04.ppm","116","132"
"m1_8_05.jpg","8","m1","8","8/m1_8_05.jpg","8/m1_8_05.ppm","113","123"
"m1_9_01.jpg","9","m1","9","9/m1_9_01.jpg","9/m1_9_01.ppm","110","135"
"m1_9_02.jpg","9","m1","9","9/m1_9_02.jpg","9/m1_9_02.ppm","114","145"
"m1_9_03.jpg","9","m1","9","9/m1_9_03.jpg","9/m1_9_03.ppm","112","126"
"m1_9_04.jpg","9","m1","9","9/m1_9_04.jpg","9/m1_9_04.ppm","112","123"
"m1_9_05.jpg","9","m1","9","9/m1_9_05.jpg","9/m1_9_05.ppm","109","123"
"m6_0_01.png","0","m6","0","0/m6_0_01.png","0/m6_0_01.ppm","290","260"
"m6_0_02.png","0","m6","0","0/m6_0_02.png","0/m6_0_02.ppm","240","260"
"m6_0_03.png","0","m6","0","0/m6_0_03.png","0/m6_0_03.ppm","250","260"
"m6_0_04.png","0","m6","0","0/m6_0_04.png","0/m6_0_04.ppm","250","260"
