filename,label,writer_id,folder,source_relative,simple_relative,full_relative,fixed_simple_relative,fixed_full_relative,full_roi_valid,full_foreground_pixels,full_threshold,full_roi_left,full_roi_top,full_roi_right,full_roi_bottom
m4_0_01.jpg,0,m4,0,0/m4_0_01.jpg,processed_simple/0/m4_0_01.pgm,processed_full/0/m4_0_01.pgm,fixed_input/simple/0/m4_0_01.txt,fixed_input/full/0/m4_0_01.txt,1,4844,100,62,73,175,280
m4_0_02.jpg,0,m4,0,0/m4_0_02.jpg,processed_simple/0/m4_0_02.pgm,processed_full/0/m4_0_02.pgm,fixed_input/simple/0/m4_0_02.txt,fixed_input/full/0/m4_0_02.txt,1,9411,92,66,43,248,277
m4_0_03.jpg,0,m4,0,0/m4_0_03.jpg,processed_simple/0/m4_0_03.pgm,processed_full/0/m4_0_03.pgm,fixed_input/simple/0/m4_0_03.txt,fixed_input/full/0/m4_0_03.txt,1,6934,103,46,29,186,262
m4_0_04.jpg,0,m4,0,0/m4_0_04.jpg,processed_simple/0/m4_0_04.pgm,processed_full/0/m4_0_04.pgm,fixed_input/simple/0/m4_0_04.txt,fixed_input/full/0/m4_0_04.txt,1,11039,103,139,38,380,385
m4_0_05.jpg,0,m4,0,0/m4_0_05.jpg,processed_simple/0/m4_0_05.pgm,processed_full/0/m4_0_05.pgm,fixed_input/simple/0/m4_0_05.txt,fixed_input/full/0/m4_0_05.txt,1,6496,103,108,100,241,291
m4_1_01.jpg,1,m4,1,1/m4_1_01.jpg,processed_simple/1/m4_1_01.pgm,processed_full/1/m4_1_01.pgm,fixed_input/simple/1/m4_1_01.txt,fixed_input/full/1/m4_1_01.txt,1,2888,98,0,131,176,377
m4_1_02.jpg,1,m4,1,1/m4_1_02.jpg,processed_simple/1/m4_1_02.pgm,processed_full/1/m4_1_02.pgm,fixed_input/simple/1/m4_1_02.txt,fixed_input/full/1/m4_1_02.txt,1,60784,68,0,74,240,478
m4_1_03.jpg,1,m4,1,1/m4_1_03.jpg,processed_simple/1/m4_1_03.pgm,processed_full/1/m4_1_03.pgm,fixed_input/simple/1/m4_1_03.txt,fixed_input/full/1/m4_1_03.txt,1,5264,98,0,87,236,479
m4_1_04.jpg,1,m4,1,1/m4_1_04.jpg,processed_simple/1/m4_1_04.pgm,processed_full/1/m4_1_04.pgm,fixed_input/simple/1/m4_1_04.txt,fixed_input/full/1/m4_1_04.txt,1,11268,111,47,23,222,402
m4_1_05.jpg,1,m4,1,1/m4_1_05.jpg,processed_simple/1/m4_1_05.pgm,processed_full/1/m4_1_05.pgm,fixed_input/simple/1/m4_1_05.txt,fixed_input/full/1/m4_1_05.txt,1,4577,114,135,90,193,401
