sample_id,filename,label,member,sequence,sample_type,original_path,notes
m1_0_01,m1_0_01.jpg,0,1,1,digit,original/0/m1_0_01.jpg,
m1_0_02,m1_0_02.jpg,0,1,2,digit,original/0/m1_0_02.jpg,
m1_0_03,m1_0_03.jpg,0,1,3,digit,original/0/m1_0_03.jpg,
m1_0_04,m1_0_04.jpg,0,1,4,digit,original/0/m1_0_04.jpg,
m1_0_05,m1_0_05.jpg,0,1,5,digit,original/0/m1_0_05.jpg,
m1_1_01,m1_1_01.jpg,1,1,1,digit,original/1/m1_1_01.jpg,
m1_1_02,m1_1_02.jpg,1,1,2,digit,original/1/m1_1_02.jpg,
m1_1_03,m1_1_03.jpg,1,1,3,digit,original/1/m1_1_03.jpg,
m1_1_04,m1_1_04.jpg,1,1,4,digit,original/1/m1_1_04.jpg,
m1_1_05,m1_1_05.jpg,1,1,5,digit,original/1/m1_1_05.jpg,
m1_2_01,m1_2_01.jpg,2,1,1,digit,original/2/m1_2_01.jpg,
m1_2_02,m1_2_02.jpg,2,1,2,digit,original/2/m1_2_02.jpg,
m1_2_03,m1_2_03.jpg,2,1,3,digit,original/2/m1_2_03.jpg,
m1_2_04,m1_2_04.jpg,2,1,4,digit,original/2/m1_2_04.jpg,
m1_2_05,m1_2_05.jpg,2,1,5,digit,original/2/m1_2_05.jpg,
m1_3_01,m1_3_01.jpg,3,1,1,digit,original/3/m1_3_01.jpg,
m1_3_02,m1_3_02.jpg,3,1,2,digit,original/3/m1_3_02.jpg,
m1_3_03,m1_3_03.jpg,3,1,3,digit,original/3/m1_3_03.jpg,
m1_3_04,m1_3_04.jpg,3,1,4,digit,original/3/m1_3_04.jpg,
m1_3_05,m1_3_05.jpg,3,1,5,digit,original/3/m1_3_05.jpg,
m1_4_01,m1_4_01.jpg,4,1,1,digit,original/4/m1_4_01.jpg,
m1_4_02,m1_4_02.jpg,4,1,2,digit,original/4/m1_4_02.jpg,
m1_4_03,m1_4_03.jpg,4,1,3,digit,original/4/m1_4_03.jpg,
m1_4_04,m1_4_04.jpg,4,1,4,digit,original/4/m1_4_04.jpg,
m1_4_05,m1_4_05.jpg,4,1,5,digit,original/4/m1_4_05.jpg,
m1_5_01,m1_5_01.jpg,5,1,1,digit,original/5/m1_5_01.jpg,
m1_5_02,m1_5_02.jpg,5,1,2,digit,original/5/m1_5_02.jpg,
m1_5_03,m1_5_03.jpg,5,1,3,digit,original/5/m1_5_03.jpg,
m1_5_04,m1_5_04.jpg,5,1,4,digit,original/5/m1_5_04.jpg,
m1_5_05,m1_5_05.jpg,5,1,5,digit,original/5/m1_5_05.jpg,
m1_6_01,m1_6_01.jpg,6,1,1,digit,original/6/m1_6_01.jpg,
m1_6_02,m1_6_02.jpg,6,1,2,digit,original/6/m1_6_02.jpg,
m1_6_03,m1_6_03.jpg,6,1,3,digit,original/6/m1_6_03.jpg,
