sample_id,filename,label,writer_id,folder,source_relative,simple_relative,full_relative,fixed_simple_relative,fixed_full_relative,full_roi_valid,full_foreground_pixels,full_threshold,full_roi_left,full_roi_top,full_roi_right,full_roi_bottom,batch,input_sha256,pipeline_sha256
m1_0_01,m1_0_01.jpg,0,m1,0,0/m1_0_01.jpg,batches/digits_190_001/processed_simple/0/m1_0_01.pgm,batches/digits_190_001/processed_full/0/m1_0_01.pgm,batches/digits_190_001/fixed_input/simple/0/m1_0_01.txt,batches/digits_190_001/fixed_input/full/0/m1_0_01.txt,1,704,88,32,32,62,83,digits_190_001,ba3909dccd04656f9f513b1096295cf6f301873a7881ed87deb52eb0b8a4f4d4,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_0_02,m1_0_02.jpg,0,m1,0,0/m1_0_02.jpg,batches/digits_190_001/processed_simple/0/m1_0_02.pgm,batches/digits_190_001/processed_full/0/m1_0_02.pgm,batches/digits_190_001/fixed_input/simple/0/m1_0_02.txt,batches/digits_190_001/fixed_input/full/0/m1_0_02.txt,1,739,93,33,33,68,80,digits_190_001,e9b25de98d208f904992e4788e2a6c51884cd628ca45ac58a2131b4366941f89,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_0_03,m1_0_03.jpg,0,m1,0,0/m1_0_03.jpg,batches/digits_190_001/processed_simple/0/m1_0_03.pgm,batches/digits_190_001/processed_full/0/m1_0_03.pgm,batches/digits_190_001/fixed_input/simple/0/m1_0_03.txt,batches/digits_190_001/fixed_input/full/0/m1_0_03.txt,1,695,91,32,32,66,81,digits_190_001,21310bda4019862c8781059112a98a9733624e1de8a0e054bf206fe5e2e93a24,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_0_04,m1_0_04.jpg,0,m1,0,0/m1_0_04.jpg,batches/digits_190_001/processed_simple/0/m1_0_04.pgm,batches/digits_190_001/processed_full/0/m1_0_04.pgm,batches/digits_190_001/fixed_input/simple/0/m1_0_04.txt,batches/digits_190_001/fixed_input/full/0/m1_0_04.txt,1,686,91,32,33,66,82,digits_190_001,296e6dc0b6bfd6671f4ff4594a8c7dad01fc0c6f26d7b93667752965a287a9ec,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_0_05,m1_0_05.jpg,0,m1,0,0/m1_0_05.jpg,batches/digits_190_001/processed_simple/0/m1_0_05.pgm,batches/digits_190_001/processed_full/0/m1_0_05.pgm,batches/digits_190_001/fixed_input/simple/0/m1_0_05.txt,batches/digits_190_001/fixed_input/full/0/m1_0_05.txt,1,775,89,33,32,67,83,digits_190_001,518dfcb4d58f77b5413ab81db25712232a3fc28eed884ab32880744ae36530d9,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_1_01,m1_1_01.jpg,1,m1,1,1/m1_1_01.jpg,batches/digits_190_001/processed_simple/1/m1_1_01.pgm,batches/digits_190_001/processed_full/1/m1_1_01.pgm,batches/digits_190_001/fixed_input/simple/1/m1_1_01.txt,batches/digits_190_001/fixed_input/full/1/m1_1_01.txt,1,714,105,32,32,69,93,digits_190_001,423e483d92a9429a3f2659eae207d7ffbee12d5025658353d303bc6ebcc867ca,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_1_02,m1_1_02.jpg,1,m1,1,1/m1_1_02.jpg,batches/digits_190_001/processed_simple/1/m1_1_02.pgm,batches/digits_190_001/processed_full/1/m1_1_02.pgm,batches/digits_190_001/fixed_input/simple/1/m1_1_02.txt,batches/digits_190_001/fixed_input/full/1/m1_1_02.txt,1,317,108,33,33,43,81,digits_190_001,50038b807a573111d4cd67d830c583ae591c3ba82a569ab34d3830e14689b9c3,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_1_03,m1_1_03.jpg,1,m1,1,1/m1_1_03.jpg,batches/digits_190_001/processed_simple/1/m1_1_03.pgm,batches/digits_190_001/processed_full/1/m1_1_03.pgm,batches/digits_190_001/fixed_input/simple/1/m1_1_03.txt,batches/digits_190_001/fixed_input/full/1/m1_1_03.txt,1,373,104,32,32,46,82,digits_190_001,32e9035205f8bb8ad8812632a7c5809db02f95dd1b6a10ed2067cc49626c1d59,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_1_04,m1_1_04.jpg,1,m1,1,1/m1_1_04.jpg,batches/digits_190_001/processed_simple/1/m1_1_04.pgm,batches/digits_190_001/processed_full/1/m1_1_04.pgm,batches/digits_190_001/fixed_input/simple/1/m1_1_04.txt,batches/digits_190_001/fixed_input/full/1/m1_1_04.txt,1,330,103,32,32,41,83,digits_190_001,8d95665aebf07039106931cf2c72b0f0a014cc4e2f4f78499f5d26e2b3b0ddca,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
m1_1_05,m1_1_05.jpg,1,m1,1,1/m1_1_05.jpg,batches/digits_190_001/processed_simple/1/m1_1_05.pgm,batches/digits_190_001/processed_full/1/m1_1_05.pgm,batches/digits_190_001/fixed_input/simple/1/m1_1_05.txt,batches/digits_190_001/fixed_input/full/1/m1_1_05.txt,1,363,100,16,32,45,97,digits_190_001,4085059b5d683fce1ee17462f02a001ba21a957ac4778a45096fc39f83a74d80,f934d340129aef372553e141e809442751b98c585e6b70cac06da4706d578899
