index,label,pred,raw_logit0,raw_logit1,raw_logit2,raw_logit3,raw_logit4,raw_logit5,raw_logit6,raw_logit7,raw_logit8,raw_logit9
0,7,7,-182,-140,-63,104,-217,-189,-591,396,-105,84
1,2,2,69,73,498,-204,-364,-350,-97,-212,87,-451
2,1,1,-111,302,-123,-246,61,-146,-162,-28,-76,-175
3,0,0,376,-334,6,-144,-275,-88,19,-202,-66,-136
4,4,4,-169,-129,-94,-205,377,-124,-194,-78,-148,47
5,1,1,-134,332,-168,-248,43,-212,-253,7,-75,-159
6,4,4,-412,-72,-224,-305,435,-21,-236,-89,56,82
7,9,9,-365,-199,-46,81,99,6,-410,-65,-14,286
8,5,5,-164,-391,-118,-125,-182,347,86,-257,90,62
9,9,9,-207,-521,-237,34,123,-105,-412,-12,139,464
10,0,0,434,-298,-1,-185,-349,-65,-35,-150,-156,-82
11,6,6,127,-424,-181,-194,-185,26,425,-366,149,-211
12,9,9,-262,-375,-195,-4,161,-98,-474,56,3,429
13,0,0,334,-264,-111,-142,-303,-34,-81,-41,-91,-71
14,1,1,-168,249,-110,-138,-46,-142,-212,-95,44,-127
15,5,5,-334,-35,-214,157,-137,349,-187,-125,-30,-63
16,9,9,-194,-353,-132,26,72,-109,-417,97,-2,358
17,7,7,-171,-189,-36,132,-329,-118,-645,431,-197,63
18,3,3,-284,-269,-57,289,-133,54,-228,-135,138,3
19,4,4,-317,-42,-101,-216,480,-109,-277,25,-183,-85
20,9,9,-278,-250,-213,27,123,-102,-535,90,-54,373
21,6,6,-42,-379,-212,-193,-76,170,425,-430,37,-165
22,6,6,69,-417,-294,-154,-43,66,395,-231,-15,-152
23,5,5,-277,-358,-294,44,-210,458,26,-350,34,89
24,4,4,-152,-94,-78,-189,330,-37,-134,-28,-154,-17
25,0,0,393,-490,-39,-135,-247,-96,46,-209,9,-45
26,7,7,-105,-99,-6,55,-131,-192,-410,295,-87,57
27,4,4,-360,-132,-38,-196,568,-123,-356,-89,-161,28
28,0,0,387,-245,56,-106,-392,-101,-148,-105,-114,-176
29,1,1,-203,253,-98,-141,48,-151,-263,-31,9,-69
30,3,3,-402,-245,-259,598,-303,90,-522,-25,-39,135
31,1,1,-228,247,-109,-184,99,-134,-282,-14,-50,2
32,3,3,-604,-25,-241,607,-233,96,-427,-98,60,-78
33,4,4,29,-112,76,-328,372,-194,-53,-175,-158,-295
34,7,7,-237,-127,-13,144,-273,-303,-726,432,-28,68
35,2,2,-72,49,512,-41,-360,-351,-330,4,-17,-251
36,7,7,-209,-102,144,174,-325,-256,-552,329,-47,-13
37,1,1,-189,303,-126,-224,53,-146,-265,-62,-1,-57
38,2,2,5,2,425,-8,-375,-347,-182,-40,40,-312
39,1,1,-64,254,-135,-239,-40,-158,-158,-139,32,-159
40,1,1,-87,174,-51,-157,-10,-86,-126,-24,-6,-72
41,7,7,-230,31,159,128,-179,-273,-469,352,-139,-127
42,4,4,-382,10,-326,-315,479,-58,-265,-7,-189,15
43,2,2,-188,135,312,-121,78,-253,-103,-47,-43,-548
44,3,3,-363,-151,-146,431,-186,108,-279,-83,-40,-30
45,5,5,-130,-285,-213,-37,-309,378,12,-221,86,5
46,1,1,-343,296,-58,-26,-7,-140,-340,-34,23,-103
47,2,2,-74,-8,378,-62,-72,-196,-108,-102,-57,-326
48,4,4,-477,-140,-230,-163,576,-68,-403,-115,9,108
49,4,4,-196,-252,-123,-226,437,-75,-156,-10,-273,-11
50,6,6,34,-255,-231,-142,-62,67,394,-422,4,-281
51,3,3,-396,-114,-122,608,-356,-56,-603,41,-5,-8
52,5,5,-241,-337,-266,37,-215,433,18,-257,69,13
53,5,5,-257,-191,-328,91,-70,359,-76,-152,-62,89
54,6,6,77,-440,-291,-285,-119,124,484,-358,91,-197
55,0,0,312,-124,-31,-276,-329,-81,-91,-32,-85,-180
56,4,4,-356,-104,-102,-305,621,-120,-305,-27,-221,-125
57,1,1,-117,258,-128,-203,40,-198,-227,6,-34,-96
58,9,9,-305,-392,-122,10,242,-91,-504,90,-115,396
59,5,5,-145,-165,-341,-10,-87,241,-164,83,-14,46
60,7,7,-242,-169,-96,118,-255,-53,-545,443,-225,80
61,8,8,-144,-439,124,159,-225,-79,-215,-258,341,86
62,9,9,-133,-289,-137,-49,-69,110,-137,-68,99,209
63,3,3,-448,-118,104,377,-210,-133,-569,-2,108,63
64,7,7,-359,-140,66,163,-92,-313,-701,508,-57,-51
65,4,4,-350,-81,-136,-53,286,-6,-299,-76,-67,152
66,6,6,136,-339,-242,-164,-75,38,357,-305,-26,-144
67,4,4,-279,-251,-100,-90,346,3,-167,-39,-110,34
68,3,3,-578,-153,-176,701,-364,-46,-578,-34,145,8
69,0,0,359,-227,5,-248,-218,-42,-61,-119,-217,-9
70,7,7,-152,-230,-119,145,-269,-33,-569,363,-176,113
71,0,0,507,-374,-18,-194,-378,-110,29,-255,-148,-99
72,2,2,14,-4,404,3,-288,-250,-423,62,-173,-169
73,9,9,-197,-288,-88,56,-14,-205,-529,28,146,365
74,1,1,-141,301,-155,-258,41,-114,-181,-125,-3,-135
75,7,7,-380,-87,-62,162,-37,-152,-500,413,-114,-11
76,3,3,-493,-110,-236,506,-125,86,-380,-103,15,90
77,2,2,10,-43,323,16,-275,-271,-309,78,-60,-118
78,9,9,-216,-258,-179,-1,82,-126,-372,-55,97,386
79,7,7,-101,-232,-66,64,-99,-281,-572,361,43,127
80,7,7,-134,-76,-174,-188,-55,-47,-378,326,-113,77
81,6,6,-27,-276,-222,-157,-121,79,416,-369,47,-202
82,2,2,-158,171,606,-2,-273,-378,-399,50,-145,-470
83,7,7,-136,-65,-117,-47,-94,-192,-422,421,-108,3
84,8,8,-214,-383,-213,145,-63,14,-132,-166,468,50
85,4,4,-482,-97,-314,-230,594,6,-291,-10,-169,-90
86,7,7,-176,-135,-80,125,-201,-245,-582,341,15,114
87,3,3,-443,-7,-51,402,-121,-33,-355,115,-109,-184
88,6,6,44,-311,-173,-205,-66,30,494,-383,-6,-333
89,1,1,-135,246,-196,-142,5,-134,-157,-66,-21,-205
90,3,3,-357,-180,-235,547,-290,45,-486,-143,103,124
91,6,6,0,-353,-211,-149,-99,89,507,-471,24,-293
92,9,9,-208,-228,-194,12,146,-92,-308,-20,63,282
93,3,3,-427,-170,-319,574,-222,113,-549,-100,-26,133
94,1,1,-218,330,-90,-244,42,-145,-162,-222,86,-199
95,4,4,-76,-246,-210,-268,357,-105,-4,-149,-55,-64
96,1,1,-276,178,-96,-45,41,-96,-344,-6,4,53
97,7,7,-296,-106,80,128,-165,-323,-425,400,111,-180
98,6,6,139,-226,-52,-289,-170,40,348,-405,12,-222
99,9,9,-274,-435,-97,94,118,-136,-536,84,-56,433
100,6,6,54,-270,-145,-158,-81,23,370,-302,65,-210
101,0,0,377,-276,-124,-176,-400,40,67,-163,-90,-157
102,5,5,-386,-248,-357,166,-324,523,-304,-211,18,184
103,4,4,-350,-146,9,-149,540,-98,-291,-19,-229,-141
104,9,9,-254,-406,-220,-23,69,141,-300,-49,-84,383
105,9,9,-300,-424,-82,53,66,-5,-467,8,19,388
106,2,2,22,-102,533,-46,-277,-356,-364,25,-27,-230
107,1,1,-40,291,-98,-376,-9,-188,-79,-108,-29,-266
108,9,9,-370,-289,-165,-23,125,-16,-471,-27,49,444
109,4,4,-91,-116,-90,-276,405,-140,-91,-70,-172,-111
110,8,8,-222,-341,-116,112,-235,5,-182,-311,525,28
111,7,7,-121,-17,-5,57,-267,-298,-520,245,56,60
112,3,3,-449,-84,-207,571,-232,29,-414,-24,-37,-7
113,9,9,-236,-385,-87,113,13,-135,-467,9,84,408
114,7,7,-285,-83,126,194,-187,-209,-496,346,-103,-70
115,4,4,-184,-183,-172,-144,227,-73,-144,-106,-46,174
116,4,4,-396,-64,-262,-146,392,-37,-226,-164,-25,131
117,4,4,-437,-157,-31,-120,527,-114,-324,10,-209,-111
