index,label,pred,raw_logit0,raw_logit1,raw_logit2,raw_logit3,raw_logit4,raw_logit5,raw_logit6,raw_logit7,raw_logit8,raw_logit9
0,7,7,-125,-1,6,-16,-81,-148,-358,261,-135,13
1,2,2,94,77,192,-158,-160,-246,-68,-52,-24,-253
2,1,1,-64,260,-116,-293,106,-122,-105,-13,-130,-207
3,0,0,178,-80,-47,-180,-70,-86,14,-56,-145,-107
4,4,4,-105,6,-101,-240,255,-112,-143,-6,-128,-14
5,1,1,-67,299,-134,-332,110,-157,-128,-12,-149,-229
6,4,4,-199,70,-164,-256,282,-62,-176,12,-57,-36
7,9,9,-96,-60,-40,-44,66,-14,-147,-60,-21,148
8,5,5,-29,-183,-179,-121,-94,188,74,-93,-44,66
9,9,9,-22,-166,-79,-30,48,-129,-179,44,33,118
10,0,0,213,-147,-26,-114,-176,-89,-105,57,-138,-27
11,6,6,91,-183,-162,-170,-96,-14,230,-166,13,-124
12,9,9,-94,-62,-114,-119,92,-85,-228,93,-60,126
13,0,0,102,-100,-140,-120,-107,-57,-108,94,-129,-16
14,1,1,-60,234,-116,-281,90,-82,-84,-65,-100,-137
15,5,5,-140,29,-126,61,-67,133,-100,35,-94,-34
16,9,9,-116,-95,-111,-82,55,-83,-246,140,-69,150
17,7,7,-108,-25,31,-10,-146,-104,-351,265,-201,-9
18,3,3,-117,-63,-51,139,-33,-19,-187,63,-37,25
19,4,4,-124,95,-116,-232,253,-101,-147,44,-161,-160
20,9,4,-93,38,-65,-148,121,-134,-236,97,-132,23
21,6,6,36,-146,-213,-183,-27,80,206,-175,-63,-63
22,6,6,31,-166,-239,-161,-16,34,201,-99,-57,-88
23,5,5,-19,-183,-174,-98,-116,214,85,-114,-44,10
24,4,4,-58,9,-78,-179,170,-41,-68,1,-103,-39
25,0,0,173,-196,-92,-113,-74,-78,2,-24,-69,-27
26,7,7,-93,27,25,-42,-28,-156,-246,187,-113,3
27,4,4,-143,34,-67,-263,347,-127,-208,-25,-139,-59
28,0,0,176,-45,-17,-108,-135,-108,-144,80,-172,-125
29,1,1,-109,211,-77,-231,105,-105,-157,-9,-65,-72
30,3,3,-125,-79,-65,235,-147,-5,-244,60,-102,3
31,1,1,-124,197,-88,-258,114,-94,-168,-6,-103,-34
32,3,3,-239,40,-98,266,-127,5,-204,30,-33,-63
33,4,4,43,-13,-21,-268,205,-171,-52,-39,-113,-164
34,7,7,-96,23,43,-33,-129,-231,-380,287,-82,-40
35,2,2,-31,20,249,10,-175,-242,-237,89,-53,-121
36,7,7,-140,35,81,18,-114,-184,-364,241,-131,-16
37,1,1,-101,249,-100,-310,130,-106,-146,-43,-96,-90
38,2,2,61,-7,237,-77,-192,-208,-62,-21,-21,-183
39,1,1,-22,258,-151,-347,103,-88,-56,-89,-117,-208
40,1,1,-39,161,-64,-204,43,-65,-78,-9,-69,-89
41,7,7,-87,91,109,-44,-37,-189,-261,200,-146,-108
42,4,4,-162,146,-227,-334,274,-82,-125,10,-186,-154
43,2,2,-65,107,175,-142,63,-161,-33,-50,-46,-333
44,3,3,-116,-39,-22,159,-94,-10,-152,58,-120,-74
45,5,5,14,-97,-166,-131,-184,176,6,22,-58,-58
46,1,1,-121,198,-74,-166,69,-83,-171,-26,-48,-46
47,2,2,30,12,164,-71,-4,-140,-84,-4,-94,-136
48,4,4,-211,71,-166,-255,363,-91,-204,-51,-89,-73
49,4,4,-82,-31,-123,-227,237,-77,-94,44,-204,-63
50,6,6,45,-56,-262,-184,22,35,205,-203,-101,-150
51,3,3,-208,30,-32,284,-143,-106,-336,137,-106,-60
52,5,5,-24,-168,-197,-79,-98,202,97,-106,-33,-20
53,5,5,-87,-46,-199,7,-44,142,-54,31,-122,27
54,6,6,23,-202,-265,-171,-75,73,242,-124,7,-89
55,0,1,92,108,-104,-346,-48,-118,-152,87,-229,-151
56,4,4,-162,50,-118,-282,355,-130,-190,24,-168,-129
57,1,1,-66,255,-107,-282,94,-150,-125,-1,-104,-173
58,9,9,-137,-114,-49,-49,147,-76,-239,69,-89,155
59,5,5,-48,-41,-203,-85,-33,120,0,44,-27,-44
60,7,7,-173,13,-9,-6,-111,-82,-289,275,-203,-25
61,8,9,3,-192,17,42,-30,-87,-86,-74,67,85
62,9,9,-52,-107,-127,-75,-39,52,-75,25,-5,89
63,3,7,-115,-5,98,97,-82,-166,-290,139,-63,-36
64,7,7,-133,24,71,1,-5,-221,-355,290,-128,-81
65,4,4,-102,64,-88,-174,172,-60,-139,-20,-104,-20
66,6,6,71,-152,-222,-161,-20,12,205,-139,-85,-78
67,4,4,-121,-63,-89,-107,207,-40,-84,-2,-95,-15
68,3,3,-223,-7,-19,286,-126,-118,-325,82,-18,-16
69,0,0,157,-125,-51,-134,-62,-43,-53,-17,-182,49
70,7,7,-103,-62,-32,15,-112,-53,-284,224,-169,27
71,0,0,266,-198,-53,-113,-183,-101,-29,-42,-127,-33
72,2,2,16,-8,188,-35,-74,-214,-327,158,-180,-73
73,9,9,-18,-34,-9,-101,18,-170,-222,8,29,65
74,1,1,-53,268,-123,-342,125,-87,-84,-91,-123,-161
75,7,7,-142,28,6,-15,25,-115,-203,211,-84,-74
76,3,3,-218,-11,-73,210,-52,-18,-223,46,-65,18
77,2,2,-7,20,132,17,-97,-160,-199,77,-91,-59
78,9,4,-49,14,-69,-142,89,-128,-165,5,-18,42
79,7,7,22,-7,49,-112,-17,-205,-207,156,-54,-92
80,7,7,-78,75,-135,-245,-1,-69,-189,183,-152,-26
81,6,6,5,-92,-201,-172,-44,39,218,-152,-48,-106
82,2,2,-31,95,286,-31,-117,-239,-259,94,-158,-235
83,7,7,-122,63,-80,-157,28,-166,-277,266,-152,-33
84,8,8,-31,-122,-225,-13,-15,2,12,-56,153,-47
85,4,4,-208,82,-236,-262,327,-54,-141,21,-172,-161
86,7,7,-78,65,11,-85,-27,-185,-270,203,-96,-32
87,3,7,-211,64,21,145,-50,-85,-231,160,-158,-125
88,6,6,56,-139,-189,-161,-22,21,254,-172,-50,-155
89,1,1,-64,256,-158,-257,102,-99,-63,-49,-137,-238
90,3,3,-123,-40,-77,204,-106,-59,-269,16,-6,53
91,6,6,40,-166,-227,-134,-33,67,291,-239,-51,-141
92,9,4,-48,-17,-107,-85,81,-106,-136,-2,-17,47
93,3,3,-126,-61,-75,166,-47,-12,-233,32,-84,11
94,1,1,-76,247,-133,-286,128,-67,-71,-117,-70,-137
95,4,4,-68,-16,-205,-254,243,-79,-53,-35,-100,-83
96,1,1,-112,159,-54,-175,71,-87,-168,-5,-59,-2
97,7,7,-97,35,79,-111,15,-191,-196,208,-25,-193
98,6,6,80,-104,-146,-199,-75,30,176,-159,-52,-67
99,9,9,-119,-132,-48,-24,91,-88,-252,79,-79,187
100,6,6,37,-127,-150,-128,-36,5,200,-149,14,-99
101,0,0,170,-124,-136,-99,-195,14,14,-9,-80,-76
102,5,5,-129,-52,-152,34,-174,233,-125,-34,-84,47
103,4,4,-133,16,-69,-193,316,-97,-156,13,-165,-134
104,9,9,-72,-135,-143,-55,0,61,-122,28,-120,162
105,9,9,-130,-143,-56,-21,61,-22,-221,26,-41,194
106,2,2,79,-22,278,-116,-112,-274,-268,98,-120,-126
