index,label,pred,raw_logit0,raw_logit1,raw_logit2,raw_logit3,raw_logit4,raw_logit5,raw_logit6,raw_logit7,raw_logit8,raw_logit9
0,7,7,-171,-7,-9,22,-112,-150,-418,298,-148,15
1,2,2,64,71,288,-105,-224,-270,-125,-34,-31,-269
2,1,1,-77,247,-107,-245,72,-105,-107,-11,-117,-161
3,0,0,217,-126,-51,-143,-115,-57,7,-63,-150,-104
4,4,4,-105,-6,-95,-202,230,-88,-128,2,-118,-17
5,1,1,-93,294,-140,-278,73,-152,-159,-4,-124,-160
6,4,4,-218,76,-193,-249,281,-33,-163,19,-66,-68
7,9,9,-152,-69,-37,5,17,32,-207,-46,-44,161
8,5,5,-94,-189,-164,-112,-143,252,79,-120,-17,41
9,9,9,-71,-236,-124,-2,62,-119,-255,67,19,215
10,0,0,241,-124,-49,-129,-208,-43,-112,61,-195,-48
11,6,6,58,-207,-207,-133,-96,40,257,-157,25,-137
12,9,9,-140,-100,-112,-76,98,-59,-273,84,-46,186
13,0,0,141,-102,-144,-124,-158,-23,-119,99,-151,-38
14,1,1,-113,230,-111,-192,52,-78,-143,-46,-80,-85
15,5,5,-172,45,-155,88,-106,163,-115,42,-121,-57
16,9,9,-136,-129,-93,-46,54,-82,-269,134,-51,176
17,7,7,-172,-27,16,29,-185,-98,-436,317,-236,-5
18,3,3,-158,-62,-85,212,-111,21,-222,66,-68,22
19,4,4,-135,68,-76,-207,241,-88,-148,65,-171,-159
20,9,9,-150,-58,-90,-57,78,-97,-347,110,-140,159
21,6,6,-9,-149,-185,-150,-44,133,240,-176,-83,-135
22,6,6,22,-198,-245,-126,-35,76,242,-97,-73,-129
23,5,5,-96,-161,-182,-54,-157,286,43,-111,-64,3
24,4,4,-61,-19,-55,-162,168,-29,-70,8,-110,-21
25,0,0,204,-239,-111,-121,-98,-78,-17,3,-105,-32
26,7,7,-83,11,27,-24,-57,-144,-253,192,-103,7
27,4,4,-160,11,-44,-230,350,-108,-217,-21,-132,-58
28,0,0,212,-78,-11,-63,-185,-69,-163,40,-168,-125
29,1,1,-150,205,-77,-152,70,-91,-193,9,-64,-52
30,3,3,-226,-77,-114,327,-201,18,-344,91,-139,15
31,1,1,-152,183,-73,-194,97,-85,-191,-8,-66,0
32,3,3,-339,69,-112,363,-217,35,-292,61,-70,-89
33,4,4,47,-13,11,-289,206,-145,-41,-37,-128,-221
34,7,7,-154,-2,36,18,-171,-251,-503,349,-107,-13
35,2,2,-47,56,317,-19,-224,-263,-268,97,-77,-170
36,7,7,-164,24,95,61,-187,-171,-403,255,-125,-30
37,1,1,-138,233,-94,-237,96,-87,-182,-32,-67,-40
38,2,2,36,4,294,-35,-230,-248,-145,20,-53,-179
39,1,1,-48,265,-166,-279,50,-85,-105,-73,-94,-149
