variant,module,source,sha256,Best-caseLatency,Worst-caseLatency,Interval-min,Interval-max,EstimatedClockPeriod,DSP48E,BRAM_18K,LUT,FF
baseline,conv2d_gemm_direct_1,optimization/build/baseline/solution1/syn/report/conv2d_gemm_direct_1_csynth.xml,f4a1a91e2fa8ff7693bd3dfe5648aa743ed071d4aa0146b8745d30f73dba825f,33913,33913,33913,33913,8.702,49,0,4604,11874
baseline,conv2d_gemm_direct,optimization/build/baseline/solution1/syn/report/conv2d_gemm_direct_csynth.xml,9161b161bd266ff4aeff42f339444211bbfb62259914922984c896b5d3760f9e,14777,14777,14777,14777,8.702,72,0,8733,17549
baseline,lenet_accelerator_with_weights,optimization/build/baseline/solution1/syn/report/lenet_accelerator_with_weights_csynth.xml,3322732a98aa9e251b8f4153329c32a894ac2c9e1e511b2bc3ebb346630a91ce,30,474826,31,474827,8.702,146,14,17279,33932
baseline,member6_controller,optimization/build/baseline/solution1/syn/report/member6_controller_csynth.xml,30a8c075d7c2e705e18a1f31cade39cbbf29fde16fbdf928a625835cb043770b,29,474825,29,474825,8.702,146,0,17231,33859
straight,conv2d_gemm_direct_1,optimization/build/straight/solution1/syn/report/conv2d_gemm_direct_1_csynth.xml,4d65edd1046d13e8daac6de876cd8726c3df9b6608e024b66b9bf49cfd703cd9,33913,33913,33913,33913,8.702,49,0,4522,11874
straight,conv2d_gemm_direct,optimization/build/straight/solution1/syn/report/conv2d_gemm_direct_csynth.xml,733f9e94e383b5b79a8532c219e83fe0253686be94b8b008edbfb3b9067b6472,14777,14777,14777,14777,8.702,72,0,8499,17549
straight,lenet_accelerator_with_weights,optimization/build/straight/solution1/syn/report/lenet_accelerator_with_weights_csynth.xml,14c97d72de35f24477554d58ff2014d1dde4839a9be305e7da2b7a90ec7ff41b,64809,64809,64810,64810,8.702,146,14,16776,33919
noflatten,conv2d_gemm_direct_1,optimization/build/noflatten/solution1/syn/report/conv2d_gemm_direct_1_csynth.xml,4d65edd1046d13e8daac6de876cd8726c3df9b6608e024b66b9bf49cfd703cd9,33913,33913,33913,33913,8.702,49,0,4522,11874
noflatten,conv2d_gemm_direct,optimization/build/noflatten/solution1/syn/report/conv2d_gemm_direct_csynth.xml,733f9e94e383b5b79a8532c219e83fe0253686be94b8b008edbfb3b9067b6472,14777,14777,14777,14777,8.702,72,0,8499,17549
noflatten,lenet_accelerator_with_weights,optimization/build/noflatten/solution1/syn/report/lenet_accelerator_with_weights_csynth.xml,9b868a06f4f7a30cd7a5860dee6a2836f4f29e0edfb85b9fabf74359b0f550c6,64551,64551,64552,64552,8.702,146,13,16697,33896
optimized,conv_banked_1,optimization/build/optimized/solution1/syn/report/conv_banked_1_csynth.xml,81aa63fa8839161a981f553642b613c14d18620fcf3d87eff0841cf429e77ddc,7849,7849,7849,7849,8.702,48,0,3507,7836
optimized,conv_banked,optimization/build/optimized/solution1/syn/report/conv_banked_csynth.xml,45f6dc020f26412172926f0bf91fd19d41aba5c7c2aa483633da6056d69c8b88,2553,2553,2553,2553,8.702,128,0,8903,22732
optimized,lenet_accelerator_with_weights,optimization/build/optimized/solution1/syn/report/lenet_accelerator_with_weights_csynth.xml,893f9b88ef70d9b3836260dbe995b100245dc050bee4c561ef4a99b59128b6d7,18428,18428,18429,18429,8.727,201,25,16411,35306
optimized,relu_pool_1,optimization/build/optimized/solution1/syn/report/relu_pool_1_csynth.xml,9ed0837c38118d92fdab8871961655d93a3f57ef740dc27b8c66aa030ff16838,259,259,259,259,8.628,0,0,197,58
