index,label,float_hls_pred,float_python_pred,float_max_abs_logit_error,fixed_hls_pred,fixed_python_pred,fixed_raw_mismatch,fixed_max_abs_raw_diff
0,7,7,7,1.9456542972307034e-06,7,7,0,0
1,2,2,2,2.8826538081005992e-06,2,2,0,0
2,1,1,1,1.6738189696496875e-06,1,1,0,0
3,0,0,0,1.9249267584342533e-06,0,0,0,0
4,4,4,4,1.4319763179670986e-06,4,4,0,0
5,1,1,1,9.864501961942551e-07,1,1,0,0
6,4,4,4,1.9114794920227496e-06,4,4,0,0
7,9,9,9,2.825354004087899e-06,9,9,0,0
8,5,5,5,1.4312554932338628e-06,5,5,0,0
9,9,9,9,1.162093505868711e-06,9,9,0,0
10,0,0,0,1.940710449233052e-06,0,0,0,0
11,6,6,6,2.384702148638951e-06,6,6,0,0
12,9,9,9,9.790649411201002e-07,9,9,0,0
13,0,0,0,1.907937622114275e-06,0,0,0,0
14,1,1,1,2.381724853783851e-06,1,1,0,0
15,5,5,5,2.3877758792423265e-06,5,5,0,0
16,9,9,9,1.435034790109313e-06,9,9,0,0
17,7,7,7,1.9086901854592497e-06,7,7,0,0
18,3,3,3,1.4329748534436249e-06,3,3,0,0
19,4,4,4,9.582568356591992e-07,4,4,0,0
20,9,9,9,1.8641845720424044e-06,9,9,0,0
21,6,6,6,2.3889257816378517e-06,6,6,0,0
22,6,6,6,1.908486328083825e-06,6,6,0,0
23,5,5,5,2.856887206803549e-06,5,5,0,0
24,4,4,4,1.0732459716500387e-06,4,4,0,0
25,0,0,0,1.919287109686252e-06,0,0,0,0
26,7,7,7,1.9040624996691236e-06,7,7,0,0
27,4,4,4,2.6271545410239128e-06,4,4,0,0
28,0,0,0,1.9269897464369024e-06,0,0,0,0
29,1,1,1,1.431176757549224e-06,1,1,0,0
30,3,3,3,1.9406372064878497e-06,3,3,0,0
31,1,1,1,1.4600111541973604e-06,1,1,0,0
32,3,3,3,2.8566369629778876e-06,3,3,0,0
33,4,4,4,2.1494476318828504e-06,4,4,0,0
34,7,7,7,2.8571801760080007e-06,7,7,0,0
35,2,2,2,1.9073608399367004e-06,2,2,0,0
36,7,7,7,1.926245115413394e-06,7,7,0,0
37,1,1,1,1.910991210607449e-06,1,1,0,0
38,2,2,2,1.1620830078218347e-06,2,2,0,0
39,1,1,1,2.8620385741362497e-06,1,1,0,0
40,1,1,1,1.4335449218805252e-06,1,1,0,0
41,7,7,7,1.947436523153101e-06,7,7,0,0
42,4,4,4,1.9491821294792544e-06,4,4,0,0
43,2,2,2,2.3871484371440488e-06,2,2,0,0
44,3,3,3,1.9120428467189754e-06,3,3,0,0
45,5,5,5,1.944677734400102e-06,5,5,0,0
46,1,1,1,1.9060156253303262e-06,1,1,0,0
47,2,2,2,1.908494873248401e-06,2,2,0,0
48,4,4,4,3.812794189705926e-06,4,4,0,0
49,4,4,4,2.6222376251494595e-06,4,4,0,0
50,6,6,6,1.9263549813075542e-06,6,6,0,0
51,3,3,3,3.827050782945207e-06,3,3,0,0
52,5,5,5,3.3330187987345994e-06,5,5,0,0
53,5,5,5,9.555621338641629e-07,5,5,0,0
54,6,6,6,9.656982413730475e-07,6,6,0,0
55,0,0,0,1.9106591793160987e-06,0,0,0,0
56,4,4,4,2.856406249307497e-06,4,4,0,0
57,1,1,1,1.4323565675766758e-06,1,1,0,0
58,9,9,9,1.0724176940923869e-06,9,9,0,0
59,5,5,5,1.4268640136094746e-06,5,5,0,0
60,7,7,7,1.8895019522346956e-06,7,7,0,0
