index,label,pred,logit0,logit1,logit2,logit3,logit4,logit5,logit6,logit7,logit8,logit9
0,7,7,-5.6614933,-4.43247271,-2.00927544,3.29031754,-6.68683815,-5.91614962,-18.363903,12.324502,-3.23894429,2.63937736
1,2,2,2.2051518,2.26089931,15.4995384,-6.3058095,-11.3669081,-10.9310484,-3.06413555,-6.56145048,2.68080616,-13.9833078
2,1,1,-3.42313051,9.44776154,-3.80268645,-7.71026707,1.82488585,-4.50794458,-5.00368309,-0.870573461,-2.40854836,-5.51588964
3,0,0,11.8515959,-10.3854885,0.224733055,-4.55871201,-8.67631149,-2.77555847,0.563160956,-6.37885857,-2.12667918,-4.32029724
4,4,4,-5.18950987,-3.96389866,-2.95823026,-6.49470139,11.7347202,-3.86138558,-5.93158865,-2.48135471,-4.62044573,1.40095329
5,1,1,-4.21779585,10.3946695,-5.23400402,-7.79184675,1.40967011,-6.65141964,-7.91019583,0.229994208,-2.3703146,-4.97865343
6,4,4,-12.7302494,-2.28648376,-6.9793911,-9.56198597,13.5481396,-0.632592797,-7.24103212,-2.80265522,1.74086523,2.53291321
7,9,9,-11.3881502,-6.27001333,-1.43359864,2.54329896,3.05875731,0.222070545,-12.8338156,-2.04712343,-0.40775606,8.93131065
8,5,5,-5.1247263,-12.1359253,-3.66586852,-3.92753577,-5.60410357,10.7962437,2.64209962,-8.03437519,2.76809978,1.96831393
9,9,9,-6.42157984,-16.2547817,-7.37370396,1.09032357,3.80411601,-3.27902269,-12.8153839,-0.430550933,4.32606268,14.4945736
10,0,0,13.5283022,-9.23734951,-0.0117031336,-5.78204966,-10.9412861,-1.96984529,-1.03475642,-4.68039513,-4.89198065,-2.63795185
11,6,6,3.97388339,-13.2067242,-5.69440222,-6.02469873,-5.75883961,0.834198236,13.2703629,-11.3982038,4.61434793,-6.59976721
12,9,9,-8.10072899,-11.7101135,-6.09977245,-0.171443164,5.01874161,-2.97838616,-14.5819197,1.61566627,0.10736385,13.3580275
13,0,0,10.3875351,-8.19025421,-3.47608733,-4.42847919,-9.38563728,-1.03546166,-2.4529767,-1.37111712,-2.8160038,-2.17315102
14,1,1,-5.30920506,7.82365656,-3.41342854,-4.30031109,-1.39113235,-4.50003672,-6.71984386,-2.91342235,1.37614179,-3.94853091
15,5,5,-10.3766594,-1.16794062,-6.65703917,4.84119225,-4.23255777,10.8842506,-5.77289057,-3.95216036,-0.93930155,-1.92378974
16,9,9,-6.0220871,-11.0517998,-4.15025282,0.84582305,2.26926494,-3.39800429,-12.9575577,2.92219973,-0.0487882495,11.2220793
