index,label,pred,logit0,logit1,logit2,logit3,logit4,logit5,logit6,logit7,logit8,logit9
0,7,7,-5.66149378,-4.43247318,-2.00927639,3.29031777,-6.68683815,-5.91614723,-18.3639011,12.3245029,-3.23894453,2.63937783
1,2,2,2.20515132,2.26090002,15.4995384,-6.30581093,-11.3669062,-10.9310484,-3.06413627,-6.56145048,2.6808064,-13.9833097
2,1,1,-3.4231286,9.44776154,-3.80268669,-7.71026897,1.82488465,-4.50794363,-5.00368118,-0.870574474,-2.40854764,-5.5158906
3,0,0,11.851593,-10.3854885,0.224733457,-4.55871105,-8.67630959,-2.77555847,0.563161314,-6.37886,-2.12667966,-4.32029724
4,4,4,-5.18951082,-3.96389937,-2.95822883,-6.49470043,11.7347193,-3.86138463,-5.93158817,-2.48135424,-4.62044525,1.40095282
5,1,1,-4.21779537,10.3946695,-5.23400354,-7.7918458,1.40966916,-6.65142012,-7.91019678,0.229994521,-2.37031388,-4.97865295
6,4,4,-12.7302504,-2.28648448,-6.97938871,-9.56198502,13.5481396,-0.632593453,-7.24103355,-2.8026545,1.74086547,2.53291345
7,9,9,-11.3881483,-6.27001238,-1.43359709,2.54330015,3.05875778,0.222070128,-12.8338184,-2.04712129,-0.407756299,8.93131065
8,5,5,-5.12472582,-12.1359243,-3.66586804,-3.9275353,-5.60410404,10.7962427,2.6421001,-8.03437519,2.76809955,1.96831441
9,9,9,-6.42157936,-16.2547817,-7.37370396,1.09032464,3.80411553,-3.27902317,-12.8153849,-0.43054989,4.32606268,14.4945736
10,0,0,13.5283022,-9.23735046,-0.0117038293,-5.78205109,-10.9412851,-1.96984375,-1.03475487,-4.68039703,-4.89198065,-2.63795304
11,6,6,3.97388268,-13.2067223,-5.69440031,-6.02469969,-5.75883961,0.834198654,13.2703638,-11.3982038,4.61434793,-6.59976864
12,9,9,-8.10072899,-11.7101135,-6.09977102,-0.171442881,5.01874113,-2.97838664,-14.5819197,1.61566603,0.107363984,13.3580265
13,0,0,10.3875351,-8.1902523,-3.47608519,-4.42848063,-9.38563728,-1.03546274,-2.45297885,-1.37111723,-2.81600451,-2.17315221
14,1,1,-5.30920362,7.82365561,-3.41342783,-4.30030823,-1.39113307,-4.50003767,-6.71984291,-2.91342282,1.37614179,-3.94853187
15,5,5,-10.3766603,-1.16794157,-6.65703917,4.84119225,-4.23255777,10.8842516,-5.77289104,-3.95216036,-0.939301312,-1.92378938
16,9,9,-6.02208805,-11.0518017,-4.15025234,0.845822573,2.26926637,-3.39800525,-12.9575577,2.92219996,-0.0487886332,11.2220802
17,7,7,-5.36447906,-5.90580606,-1.12415922,4.11696386,-10.2262192,-3.68712544,-20.1241684,13.4537163,-6.18062353,1.93991125
18,3,3,-8.79477215,-8.3034153,-1.82760596,8.98849487,-4.16404629,1.6933943,-7.10405207,-4.1932807,4.31526756,0.0673042089
19,4,4,-9.86524487,-1.37286305,-3.15577722,-6.73792219,14.9884233,-3.40918279,-8.68249416,0.760374486,-5.73638296,-2.55761671
20,9,9,-8.61818886,-7.77756834,-6.66213989,0.845173538,3.80584168,-3.19837308,-16.6779633,2.82657599,-1.67534053,11.5941267
21,6,6,-1.28783333,-11.7904854,-6.59334707,-5.98970175,-2.34946561,5.32714605,13.1508484,-13.357542,1.1527431,-5.06427526
22,6,6,2.20014477,-13.0996256,-9.14983845,-4.84335327,-1.34147668,2.04003906,12.3916979,-7.29884529,-0.484535426,-4.74949503
23,5,5,-8.64492989,-11.0954762,-9.20790863,1.4551599,-6.64542913,14.3683233,0.722334564,-10.8168793,0.953114629,2.7484138
24,4,4,-4.78224564,-2.91785455,-2.41742301,-5.8848052,10.3874216,-1.20198262,-4.22125769,-0.912775993,-4.79003525,-0.581905007
25,0,0,12.2285557,-15.2115116,-1.20853138,-4.1571393,-7.66498232,-3.00445127,1.3961004,-6.49231243,0.249111623,-1.3636049
26,7,7,-3.27355766,-3.13800812,-0.217652038,1.71409798,-4.07991743,-5.97814751,-12.747242,9.1978569,-2.70566845,1.77763855
27,4,4,-11.2157164,-4.11828518,-1.1765883,-6.153193,17.7265396,-3.8289187,-11.2126513,-2.76857209,-5.0443635,0.961611629
28,0,0,11.9857492,-7.56319809,1.7324692,-3.24370289,-12.2180052,-3.15438032,-4.61079168,-3.26383376,-3.49317455,-5.47691154
29,1,1,-6.31807041,7.94724274,-2.98879981,-4.3384099,1.44309616,-4.72526979,-8.19635677,-0.942624271,0.26642406,-2.2651
