layer,sample,max_err,mean_err,mismatch
input,0,0,0,0
input,1,0,0,0
input,2,0,0,0
input,3,0,0,0
input,4,0,0,0
conv1,0,0,0,0
conv1,1,0,0,0
conv1,2,0,0,0
conv1,3,0,0,0
conv1,4,0,0,0
relu1,0,0,0,0
relu1,1,0,0,0
relu1,2,0,0,0
relu1,3,0,0,0
relu1,4,0,0,0
pool1,0,0,0,0
pool1,1,0,0,0
pool1,2,0,0,0
pool1,3,0,0,0
pool1,4,0,0,0
conv2,0,0,0,0
conv2,1,0,0,0
conv2,2,0,0,0
conv2,3,0,0,0
conv2,4,0,0,0
relu2,0,0,0,0
relu2,1,0,0,0
relu2,2,0,0,0
relu2,3,0,0,0
relu2,4,0,0,0
pool2,0,0,0,0
pool2,1,0,0,0
pool2,2,0,0,0
pool2,3,0,0,0
pool2,4,0,0,0
flatten,0,0,0,0
flatten,1,0,0,0
flatten,2,0,0,0
flatten,3,0,0,0
flatten,4,0,0,0
fc1,0,0,0,0
fc1,1,0,0,0
fc1,2,0,0,0
fc1,3,0,0,0
fc1,4,0,0,0
relu3,0,0,0,0
relu3,1,0,0,0
relu3,2,0,0,0
relu3,3,0,0,0
relu3,4,0,0,0
fc2,0,0,0,0
fc2,1,0,0,0
fc2,2,0,0,0
fc2,3,0,0,0
fc2,4,0,0,0
relu4,0,0,0,0
relu4,1,0,0,0
relu4,2,0,0,0
relu4,3,0,0,0
relu4,4,0,0,0
logits,0,0,0,0
logits,1,0,0,0
logits,2,0,0,0
logits,3,0,0,0
logits,4,0,0,0
