layer,sample,max_err,mean_err,mismatch
input,0,0.015563726,0.0011312336727806124,115
input,1,0.015563726,0.0016822351945153041,163
input,2,0.015563726,0.00053271284260204051,63
input,3,0.015563726,0.0025419542538265261,190
input,4,0.015563726,0.0013644520168367353,119
conv1,0,0.034738242999999946,0.0042024571983261877,1668
conv1,1,0.043396830000000053,0.0059846680840743606,2123
conv1,2,0.027559339999999988,0.0028893928715309609,1175
conv1,3,0.058241720000000052,0.0071114231547763284,2387
conv1,4,0.039944769999999963,0.0054290067270114503,1985
relu1,0,0.030893559999999987,0.0026980210582301213,1086
relu1,1,0.043396830000000053,0.0041166444187326423,1445
relu1,2,0.02536833000000005,0.0017217284865752318,709
relu1,3,0.049602989999999902,0.0047651044958000547,1602
relu1,4,0.035721660000000099,0.0035550155092561038,1269
pool1,0,0.027699648999999993,0.0036309665467989562,365
pool1,1,0.038473959999999918,0.005523597151337962,479
pool1,2,0.02536833000000005,0.0023515030523182847,249
pool1,3,0.041616680000000184,0.0062916807614849558,524
pool1,4,0.034368767999999994,0.0049285977136062477,444
conv2,0,0.065335989999999899,0.014400016319453136,1023
conv2,1,0.081550599999999918,0.015716228378818357,1024
conv2,2,0.065912720000000036,0.012189906284391587,1023
conv2,3,0.090555189999999897,0.018713326159167001,1024
conv2,4,0.095909830000000085,0.018529766840219734,1024
relu2,0,0.065335989999999899,0.0059482222382421833,424
relu2,1,0.069455619999999829,0.0074966764741210938,487
relu2,2,0.052939059999999927,0.0059292012390888766,488
relu2,3,0.077545169999999608,0.0090847597972119141,546
relu2,4,0.087860580000000077,0.009204394257529289,532
pool2,0,0.065335989999999899,0.009779389303164061,168
pool2,1,0.069455619999999829,0.011180363971484374,185
pool2,2,0.052939059999999927,0.0093646874629296894,172
pool2,3,0.077545169999999608,0.014429707490234367,199
pool2,4,0.071115489999999948,0.014915478848007818,195
flatten,0,0.065335989999999899,0.009779389303164061,168
flatten,1,0.069455619999999829,0.011180363971484374,185
flatten,2,0.052939059999999927,0.0093646874629296894,172
flatten,3,0.077545169999999608,0.014429707490234367,199
flatten,4,0.071115489999999948,0.014915478848007818,195
fc1,0,0.065432780000000079,0.019871143703333309,120
fc1,1,0.080716900000000535,0.024618988953333348,120
fc1,2,0.058124840000000066,0.017115582129166633,120
fc1,3,0.07491169999999947,0.028023109504166643,120
fc1,4,0.10106746000000011,0.027233928241666674,120
relu3,0,0.065432780000000079,0.012153745344999991,60
relu3,1,0.05703212000000013,0.013485295778333342,64
relu3,2,0.044795530000000028,0.010434607266666653,69
relu3,3,0.070927750000000067,0.014293923621666654,61
relu3,4,0.10106746000000011,0.013595842841666669,59
fc2,0,0.11418880000000087,0.030030595697619063,84
fc2,1,0.10521299999999911,0.03098237988809522,84
fc2,2,0.066236820000000085,0.022528136874999993,83
fc2,3,0.11065778000000037,0.030213596773809526,84
fc2,4,0.1021437300000001,0.032358068279761877,84
relu4,0,0.11418880000000087,0.018065163173809542,47
relu4,1,0.10521299999999911,0.019411129321428539,46
relu4,2,0.066236820000000085,0.013827562551190458,50
relu4,3,0.11065778000000037,0.017533449416666669,45
relu4,4,0.095278640000000081,0.020002809607142846,50
logits,0,0.10484719999999825,0.048066800999999916,10
logits,1,0.11044039999999988,0.046076831000000061,10
logits,2,0.081365200000000026,0.039956595599999978,10
logits,3,0.10159230000000008,0.058909279300000138,10
logits,4,0.13090850000000032,0.0575521780000001,10
