layer,sample,max_err,mean_err,mismatch
input,0,4.8809811747929643e-10,4.0802683170083361e-11,0
input,1,4.9979401173239069e-10,4.397182837074226e-11,0
input,2,4.9979401173239069e-10,2.0710674660777529e-11,0
input,3,4.9979401173239069e-10,7.3541822721031139e-11,0
input,4,4.9979401173239069e-10,3.0385233701655088e-11,0
conv1,0,3.5416015631284381e-07,1.0223718844485648e-08,0
conv1,1,4.7805908209852532e-07,1.9098035127783127e-08,0
conv1,2,2.4252685548731279e-07,6.1236836412427224e-09,0
conv1,3,4.8145507802743737e-07,2.193411173974952e-08,0
conv1,4,3.6120819091323142e-07,1.2624036205960921e-08,0
relu1,0,3.5416015631284381e-07,7.3073299649402159e-09,0
relu1,1,4.7805908209852532e-07,1.4664288968994244e-08,0
relu1,2,2.4252685548731279e-07,4.1761115690049589e-09,0
relu1,3,4.8145507802743737e-07,1.618007712058793e-08,0
relu1,4,3.6120819091323142e-07,9.0333591843134172e-09,0
pool1,0,2.4326965331056272e-07,1.0053394590310935e-08,0
pool1,1,4.7805908209852532e-07,2.1581606000205221e-08,0
pool1,2,2.3986694319688695e-07,6.3815392693609026e-09,0
pool1,3,4.7665649427486301e-07,2.1206154375893665e-08,0
pool1,4,3.6120819091323142e-07,1.3108954659782463e-08,0
conv2,0,2.3854455566407751e-06,2.9128898083291239e-07,0
conv2,1,3.0983673093842867e-06,3.6190864872770158e-07,0
conv2,2,1.9120349117329738e-06,1.5733232831044014e-07,0
conv2,3,3.8476318362512529e-06,4.3674799004809221e-07,0
conv2,4,2.382042236348525e-06,2.84009182745479e-07,0
relu2,0,2.3826843262853004e-06,1.172698491020081e-07,0
relu2,1,2.864505614930124e-06,1.7165523929003375e-07,0
relu2,2,1.43030151367185e-06,8.2390601003825249e-08,0
relu2,3,2.6219384765546749e-06,2.1579909803987177e-07,0
relu2,4,2.1445141600295869e-06,1.4960484194466652e-07,0
pool2,0,2.3826843262853004e-06,1.9382795241921642e-07,0
pool2,1,2.864505614930124e-06,2.8995952216958796e-07,0
pool2,2,1.43030151367185e-06,1.3326508660159312e-07,0
pool2,3,2.6219384765546749e-06,3.2417249016911283e-07,0
pool2,4,2.1445141600295869e-06,2.4530362835700664e-07,0
flatten,0,2.3826843262853004e-06,1.9382795241921642e-07,0
flatten,1,2.864505614930124e-06,2.8995952216958796e-07,0
flatten,2,1.43030151367185e-06,1.3326508660159312e-07,0
flatten,3,2.6219384765546749e-06,3.2417249016911283e-07,0
flatten,4,2.1445141600295869e-06,2.4530362835700664e-07,0
fc1,0,2.1773937985969383e-06,5.7363638690677986e-07,0
fc1,1,3.1808044429482152e-06,7.6698366001835938e-07,0
fc1,2,3.3705920410298518e-06,5.4509325616488669e-07,0
fc1,3,5.106075439798019e-06,9.3361650485279202e-07,0
fc1,4,2.5986987299830844e-06,7.3139263909403429e-07,0
relu3,0,2.1773937985969383e-06,3.3773208308809691e-07,0
relu3,1,3.1808044429482152e-06,4.4017457410744483e-07,0
relu3,2,3.3705920410298518e-06,2.8775568867318394e-07,0
relu3,3,5.106075439798019e-06,4.1449028352370334e-07,0
relu3,4,2.5986987299830844e-06,3.797502201037528e-07,0
fc2,0,3.8237329107460027e-06,8.2021215754773423e-07,0
fc2,1,3.4238232426986315e-06,9.4013982278450311e-07,0
fc2,2,2.0302880860967321e-06,6.03838727569911e-07,0
fc2,3,2.3443395997801986e-06,8.1293531380970449e-07,0
fc2,4,2.18020019548959e-06,7.4305131425903266e-07,0
relu4,0,3.8237329107460027e-06,4.8882613688166519e-07,0
relu4,1,3.4238232426986315e-06,6.2425347864018889e-07,0
relu4,2,2.0302880860967321e-06,3.9117478939712513e-07,0
relu4,3,2.3443395997801986e-06,4.7822375215752918e-07,0
relu4,4,2.18020019548959e-06,4.6263200632691769e-07,0
logits,0,2.5544244386388471e-06,1.1758907467740443e-06,0
logits,1,3.206750488260468e-06,1.5400522461739286e-06,0
logits,2,2.3938928226385769e-06,1.1648794647767247e-06,0
logits,3,3.5786010741389873e-06,1.4912338378164636e-06,0
logits,4,3.1934399413735548e-06,1.5050228269641863e-06,0
