group,preprocess,inference_mode,label,correct,total,accuracy
simple_float,simple,float,0,19,34,0.5588235294117647
simple_float,simple,float,1,0,34,0.0
simple_float,simple,float,2,0,34,0.0
simple_float,simple,float,3,0,34,0.0
simple_float,simple,float,4,9,34,0.2647058823529412
simple_float,simple,float,5,0,34,0.0
simple_float,simple,float,6,0,34,0.0
simple_float,simple,float,7,0,34,0.0
simple_float,simple,float,8,22,34,0.6470588235294118
simple_float,simple,float,9,0,34,0.0
simple_fixed,simple,fixed,0,19,34,0.5588235294117647
simple_fixed,simple,fixed,1,0,34,0.0
simple_fixed,simple,fixed,2,0,34,0.0
simple_fixed,simple,fixed,3,0,34,0.0
simple_fixed,simple,fixed,4,10,34,0.29411764705882354
simple_fixed,simple,fixed,5,0,34,0.0
simple_fixed,simple,fixed,6,0,34,0.0
simple_fixed,simple,fixed,7,0,34,0.0
simple_fixed,simple,fixed,8,21,34,0.6176470588235294
simple_fixed,simple,fixed,9,0,34,0.0
full_float,full,float,0,27,34,0.7941176470588235
full_float,full,float,1,25,34,0.7352941176470589
full_float,full,float,2,29,34,0.8529411764705882
full_float,full,float,3,32,34,0.9411764705882353
full_float,full,float,4,20,34,0.5882352941176471
full_float,full,float,5,32,34,0.9411764705882353
full_float,full,float,6,23,34,0.6764705882352942
full_float,full,float,7,22,34,0.6470588235294118
full_float,full,float,8,27,34,0.7941176470588235
full_float,full,float,9,22,34,0.6470588235294118
full_fixed,full,fixed,0,27,34,0.7941176470588235
full_fixed,full,fixed,1,25,34,0.7352941176470589
full_fixed,full,fixed,2,30,34,0.8823529411764706
full_fixed,full,fixed,3,32,34,0.9411764705882353
full_fixed,full,fixed,4,20,34,0.5882352941176471
full_fixed,full,fixed,5,32,34,0.9411764705882353
full_fixed,full,fixed,6,23,34,0.6764705882352942
full_fixed,full,fixed,7,22,34,0.6470588235294118
full_fixed,full,fixed,8,27,34,0.7941176470588235
full_fixed,full,fixed,9,22,34,0.6470588235294118
simple_optimized_hls,simple,optimized_hls,0,19,34,0.5588235294117647
simple_optimized_hls,simple,optimized_hls,1,0,34,0.0
simple_optimized_hls,simple,optimized_hls,2,0,34,0.0
simple_optimized_hls,simple,optimized_hls,3,0,34,0.0
simple_optimized_hls,simple,optimized_hls,4,10,34,0.29411764705882354
simple_optimized_hls,simple,optimized_hls,5,0,34,0.0
simple_optimized_hls,simple,optimized_hls,6,0,34,0.0
simple_optimized_hls,simple,optimized_hls,7,0,34,0.0
simple_optimized_hls,simple,optimized_hls,8,21,34,0.6176470588235294
simple_optimized_hls,simple,optimized_hls,9,0,34,0.0
full_optimized_hls,full,optimized_hls,0,27,34,0.7941176470588235
full_optimized_hls,full,optimized_hls,1,25,34,0.7352941176470589
full_optimized_hls,full,optimized_hls,2,30,34,0.8823529411764706
full_optimized_hls,full,optimized_hls,3,32,34,0.9411764705882353
full_optimized_hls,full,optimized_hls,4,20,34,0.5882352941176471
full_optimized_hls,full,optimized_hls,5,32,34,0.9411764705882353
full_optimized_hls,full,optimized_hls,6,23,34,0.6764705882352942
full_optimized_hls,full,optimized_hls,7,22,34,0.6470588235294118
full_optimized_hls,full,optimized_hls,8,27,34,0.7941176470588235
full_optimized_hls,full,optimized_hls,9,22,34,0.6470588235294118
