sample_id,label,preprocess,inference_mode,prediction,correct,raw_logit0,raw_logit1,raw_logit2,raw_logit3,raw_logit4,raw_logit5,raw_logit6,raw_logit7,raw_logit8,raw_logit9
m1_0_01,0,full,fixed,0,1,337,-207,-4,-189,-264,-69,-76,-139,-113,-75
m1_0_02,0,full,fixed,0,1,384,-421,28,-113,-271,-129,-172,-100,-131,56
m1_0_03,0,full,fixed,0,1,363,-349,-52,-164,-289,-44,-66,-46,-113,-40
m1_0_04,0,full,fixed,0,1,397,-355,-41,-153,-307,-33,-48,-111,-123,-71
m1_0_05,0,full,fixed,0,1,351,-366,-100,-117,-298,-46,-67,-99,-53,-9
m1_1_01,1,full,fixed,1,1,-264,228,-28,89,-233,-191,-408,31,44,-35
m1_1_02,1,full,fixed,1,1,-88,291,-78,-293,22,-158,-132,-120,-4,-187
m1_1_03,1,full,fixed,1,1,-27,213,-78,-301,-33,-115,-28,-197,25,-223
m1_1_04,1,full,fixed,1,1,-32,222,-44,-272,-59,-129,-41,-169,12,-242
m1_1_05,1,full,fixed,1,1,-212,156,-106,-51,78,-145,-206,13,-45,-37
m1_2_01,2,full,fixed,2,1,-190,128,464,201,-461,-383,-531,29,-71,-299
m1_2_02,2,full,fixed,2,1,-165,48,369,203,-455,-232,-450,-21,-40,-206
m1_2_03,2,full,fixed,2,1,-136,49,467,43,-339,-348,-350,-96,101,-235
m1_2_04,2,full,fixed,2,1,-168,125,467,31,-252,-359,-318,-5,-96,-365
m1_2_05,2,full,fixed,2,1,-200,276,348,-26,-281,-208,-284,5,-56,-438
m1_3_01,3,full,fixed,3,1,-369,-143,-287,483,-156,171,-213,-148,-6,-46
m1_3_02,3,full,fixed,3,1,-361,-98,-100,430,-153,34,-268,-87,-13,-133
m1_3_03,3,full,fixed,3,1,-408,-162,-80,482,-169,33,-366,-19,-38,-31
m1_3_04,3,full,fixed,3,1,-490,-33,-249,564,-188,144,-333,-121,-26,-119
m1_3_05,3,full,fixed,3,1,-390,-137,-140,460,-100,55,-251,-70,-32,-48
m1_4_01,4,full,fixed,4,1,-504,-237,-133,14,186,-84,-394,97,150,157
m1_4_02,4,full,fixed,4,1,-423,-226,-87,84,220,-61,-377,60,3,173
m1_4_03,4,full,fixed,4,1,-282,-229,5,135,170,-234,-444,140,28,142
