sample_id,label,preprocess,inference_mode,prediction,correct,raw_logit0,raw_logit1,raw_logit2,raw_logit3,raw_logit4,raw_logit5,raw_logit6,raw_logit7,raw_logit8,raw_logit9
m1_0_01,0,simple,fixed,0,1,98,-244,-65,34,-42,-109,-49,-82,65,44
m1_0_02,0,simple,fixed,0,1,97,-274,-55,32,-36,-114,-70,-89,79,70
m1_0_03,0,simple,fixed,0,1,96,-272,-74,24,-32,-104,-38,-97,84,61
m1_0_04,0,simple,fixed,0,1,102,-243,-89,23,-49,-100,-41,-78,77,45
m1_0_05,0,simple,fixed,0,1,106,-248,-56,29,-60,-117,-57,-80,75,49
m1_1_01,1,simple,fixed,8,0,80,-228,-20,19,22,-148,-83,-119,120,9
m1_1_02,1,simple,fixed,0,0,60,-82,-106,-82,17,-139,-118,-13,-2,-53
m1_1_03,1,simple,fixed,0,0,53,-89,-111,-74,13,-150,-125,-3,16,-47
m1_1_04,1,simple,fixed,0,0,52,-77,-114,-68,23,-127,-120,-17,-10,-41
m1_1_05,1,simple,fixed,0,0,45,-61,-121,-87,28,-120,-104,-14,-14,-50
m1_2_01,2,simple,fixed,8,0,31,-243,-28,50,53,-140,-114,-106,175,34
m1_2_02,2,simple,fixed,8,0,67,-216,-50,16,24,-107,-81,-98,129,3
m1_2_03,2,simple,fixed,8,0,59,-212,-51,-1,40,-132,-75,-89,115,14
m1_2_04,2,simple,fixed,8,0,53,-198,-36,29,24,-131,-90,-79,121,10
m1_2_05,2,simple,fixed,8,0,53,-144,-73,1,28,-88,-90,-62,73,-4
m1_3_01,3,simple,fixed,8,0,57,-256,-91,41,43,-93,-35,-116,101,32
m1_3_02,3,simple,fixed,8,0,72,-251,-43,33,28,-118,-78,-81,100,35
m1_3_03,3,simple,fixed,8,0,95,-247,-38,28,-23,-121,-58,-72,102,19
m1_3_04,3,simple,fixed,8,0,74,-243,-55,24,25,-97,-48,-94,88,27
m1_3_05,3,simple,fixed,8,0,74,-214,-53,26,16,-115,-60,-83,84,23
m1_4_01,4,simple,fixed,8,0,92,-236,-35,33,-37,-110,-46,-82,96,17
m1_4_02,4,simple,fixed,8,0,78,-228,-45,22,3,-112,-39,-95,80,21
m1_4_03,4,simple,fixed,8,0,81,-235,-37,53,-21,-129,-81,-81,93,38
m1_4_04,4,simple,fixed,8,0,83,-212,-49,34,-43,-101,-34,-70,89,-4
m1_4_05,4,simple,fixed,0,0,70,-184,-54,9,-26,-99,-37,-51,63,-5
m1_5_01,5,simple,fixed,8,0,60,-261,-79,-6,10,-61,0,-106,81,67
m1_5_02,5,simple,fixed,8,0,61,-306,-97,32,15,-61,3,-127,126,57
m1_5_03,5,simple,fixed,8,0,40,-282,-37,-5,-1,-70,-8,-108,115,80
m1_5_04,5,simple,fixed,8,0,74,-243,-87,8,6,-64,-5,-104,83,39
m1_5_05,5,simple,fixed,8,0,61,-257,-94,25,5,-62,12,-121,123,30
m1_6_01,6,simple,fixed,8,0,63,-180,-106,-10,47,-112,-55,-97,80,5
m1_6_02,6,simple,fixed,8,0,50,-303,-105,54,52,-99,-55,-144,128,106
m1_6_03,6,simple,fixed,8,0,72,-301,-105,51,35,-86,-25,-154,118,85
m1_6_04,6,simple,fixed,8,0,64,-242,-113,44,29,-79,-17,-136,102,47
m1_6_05,6,simple,fixed,8,0,70,-265,-115,50,22,-77,-10,-146,110,55
m1_7_01,7,simple,fixed,0,0,80,-185,-40,9,-79,-133,-86,19,58,-6
m1_7_02,7,simple,fixed,0,0,103,-196,-35,-15,-108,-108,-68,9,57,-11
m1_7_03,7,simple,fixed,0,0,78,-177,-3,9,-76,-137,-92,9,49,-3
m1_7_04,7,simple,fixed,8,0,71,-170,-55,-9,-67,-108,-56,-7,74,-9
m1_7_05,7,simple,fixed,0,0,56,-132,-41,-11,-54,-126,-83,17,53,-22
m1_8_01,8,simple,fixed,8,1,77,-233,-24,45,9,-99,-57,-103,88,34
m1_8_02,8,simple,fixed,8,1,72,-271,-57,48,9,-80,-7,-135,118,16
m1_8_03,8,simple,fixed,8,1,52,-262,-21,55,25,-108,-94,-104,115,74
m1_8_04,8,simple,fixed,8,1,64,-247,-42,39,22,-88,-68,-90,81,60
m1_8_05,8,simple,fixed,8,1,51,-213,-42,9,22,-87,-61,-57,60,39
m1_9_01,9,simple,fixed,8,0,65,-252,-5,41,-27,-128,-80,-82,105,59
m1_9_02,9,simple,fixed,8,0,84,-256,-13,41,-51,-141,-74,-81,116,47
m1_9_03,9,simple,fixed,8,0,65,-278,-17,63,-48,-134,-83,-91,140,69
m1_9_04,9,simple,fixed,8,0,60,-253,-4,57,-25,-138,-93,-86,116,68
m1_9_05,9,simple,fixed,8,0,79,-217,-11,21,-31,-139,-52,-91,85,30
m6_0_01,0,simple,fixed,8,0,87,-192,-116,15,-40,-123,-40,-90,101,-5
m6_0_02,0,simple,fixed,0,1,102,-246,-98,-6,-25,-138,-33,-82,73,23
m6_0_03,0,simple,fixed,0,1,104,-215,-129,16,-78,-99,-2,-79,90,-15
m6_0_04,0,simple,fixed,0,1,86,-214,-103,-22,12,-130,-42,-90,47,17
m6_0_05,0,simple,fixed,8,0,76,-151,-156,16,-39,-82,7,-127,88,-48
m6_1_01,1,simple,fixed,4,0,27,-85,-125,-41,78,-131,-99,-103,43,-20
m6_1_02,1,simple,fixed,4,0,27,-78,-155,-32,67,-104,-94,-92,31,-33
m6_1_03,1,simple,fixed,4,0,48,-112,-133,-19,52,-138,-79,-106,43,-31
m6_1_04,1,simple,fixed,0,0,65,-102,-131,-24,23,-128,-83,-86,29,-50
m6_1_05,1,simple,fixed,0,0,70,-117,-139,-13,22,-118,-64,-99,37,-54
m6_2_01,2,simple,fixed,8,0,47,-114,-119,-27,7,-133,-59,-121,104,-26
m6_2_02,2,simple,fixed,8,0,60,-131,-147,12,-17,-98,-30,-98,89,-66
m6_2_03,2,simple,fixed,8,0,71,-143,-110,-25,6,-133,-41,-133,92,-22
m6_2_04,2,simple,fixed,8,0,74,-178,-84,-3,15,-128,-89,-104,98,2
m6_2_05,2,simple,fixed,4,0,64,-174,-113,-35,70,-115,-68,-103,53,-1
m6_3_01,3,simple,fixed,0,0,70,-183,-100,-15,27,-123,-64,-101,70,11
m6_3_02,3,simple,fixed,8,0,38,-152,-99,-38,48,-138,-118,-52,56,13
m6_3_03,3,simple,fixed,4,0,51,-181,-133,-44,53,-130,-86,-81,46,22
m6_3_04,3,simple,fixed,8,0,73,-188,-74,-14,41,-150,-76,-91,75,-19
m6_3_05,3,simple,fixed,0,0,61,-132,-102,-39,44,-132,-88,-81,42,-24
m6_4_01,4,simple,fixed,0,0,110,-216,-138,30,-40,-120,-45,-108,90,-3
m6_4_02,4,simple,fixed,8,0,28,-159,-110,4,68,-139,-111,-88,71,12
m6_4_03,4,simple,fixed,4,1,1,-129,-109,-13,79,-140,-134,-62,70,19
m6_4_04,4,simple,fixed,0,0,81,-221,-115,15,10,-120,-70,-93,64,25
m6_4_05,4,simple,fixed,8,0,31,-142,-80,-11,28,-147,-141,-39,64,13
m6_5_01,5,simple,fixed,8,0,50,-188,-95,-32,28,-134,-83,-84,87,36
m6_5_02,5,simple,fixed,8,0,47,-167,-113,-32,36,-127,-86,-86,76,18
m6_5_03,5,simple,fixed,8,0,63,-212,-90,-25,-8,-141,-67,-41,97,6
m6_5_04,5,simple,fixed,8,0,65,-191,-111,-20,26,-120,-66,-93,72,11
m6_5_05,5,simple,fixed,8,0,47,-135,-81,-19,49,-160,-95,-102,72,-11
m6_6_01,6,simple,fixed,8,0,42,-179,-138,6,56,-116,-90,-120,71,40
m6_6_02,6,simple,fixed,8,0,71,-156,-131,0,22,-130,-76,-114,77,-13
m6_6_03,6,simple,fixed,0,0,82,-173,-130,11,-3,-127,-53,-101,75,-20
m6_6_04,6,simple,fixed,8,0,56,-192,-133,-21,56,-124,-76,-114,61,35
m6_6_05,6,simple,fixed,4,0,30,-133,-126,-13,65,-134,-103,-104,65,9
m6_7_01,7,simple,fixed,8,0,61,-175,-73,13,-2,-156,-99,-62,83,4
m6_7_02,7,simple,fixed,8,0,53,-143,-90,-48,26,-159,-103,-58,74,-12
m6_7_03,7,simple,fixed,8,0,70,-164,-55,7,-8,-165,-121,-66,82,-5
m6_7_04,7,simple,fixed,8,0,85,-214,-56,-2,-43,-151,-72,-43,91,3
m6_7_05,7,simple,fixed,0,0,62,-158,-100,-29,18,-137,-80,-66,59,-9
m6_8_01,8,simple,fixed,0,0,67,-164,-125,-39,38,-135,-46,-67,26,-32
m6_8_02,8,simple,fixed,0,0,101,-216,-116,6,-25,-105,-20,-99,74,-5
m6_8_03,8,simple,fixed,8,1,37,-188,-88,10,53,-125,-114,-85,72,50
m6_8_04,8,simple,fixed,0,0,102,-217,-112,-1,-37,-97,-17,-86,72,-5
m6_8_05,8,simple,fixed,0,0,105,-220,-96,16,-43,-116,-32,-88,72,-3
m6_9_01,9,simple,fixed,8,0,72,-171,-123,-3,6,-124,-49,-90,74,-20
m6_9_02,9,simple,fixed,0,0,62,-168,-114,-14,29,-128,-74,-87,39,9
m6_9_03,9,simple,fixed,0,0,77,-170,-89,-7,0,-146,-93,-64,54,-4
m6_9_04,9,simple,fixed,8,0,66,-210,-72,-15,14,-134,-81,-88,69,41
m6_9_05,9,simple,fixed,8,0,63,-180,-101,-13,24,-131,-78,-93,67,22
m8_0_01,0,simple,fixed,0,1,98,-218,-168,26,-19,-94,-36,-133,37,14
m8_1_01,1,simple,fixed,4,0,-23,3,-115,-184,158,-172,-142,-26,-20,-66
m8_2_01,2,simple,fixed,4,0,23,-97,-76,-94,103,-169,-109,-52,14,-21
m8_3_01,3,simple,fixed,8,0,71,-230,-160,45,-44,-55,29,-132,119,-42
m8_4_01,4,simple,fixed,4,1,37,-66,-104,-61,53,-108,-68,-74,24,-56
m8_5_01,5,simple,fixed,8,0,92,-305,-154,-8,-48,-22,87,-122,103,0
m8_6_01,6,simple,fixed,8,0,74,-266,-159,45,7,-91,3,-142,118,12
m8_7_01,7,simple,fixed,8,0,34,-120,-129,0,38,-121,-116,-56,45,-1
m8_8_01,8,simple,fixed,8,1,66,-226,-59,37,-27,-123,-62,-74,146,-24
m8_9_01,9,simple,fixed,8,0,13,-119,-4,-7,40,-189,-196,-3,69,1
m8_0_02,0,simple,fixed,0,1,61,-180,-104,-30,23,-128,-59,-80,58,10
m8_0_03,0,simple,fixed,8,0,67,-181,-121,-33,20,-117,-25,-105,72,-4
m8_0_04,0,simple,fixed,0,1,78,-192,-101,-13,5,-153,-59,-107,74,16
m8_0_05,0,simple,fixed,0,1,68,-198,-105,-2,11,-143,-82,-86,65,40
m8_1_02,1,simple,fixed,4,0,40,-88,-112,-53,55,-129,-89,-72,29,-31
m8_1_03,1,simple,fixed,8,0,61,-182,-78,-9,60,-111,-64,-123,82,-7
m8_1_04,1,simple,fixed,4,0,22,-67,-116,-76,75,-131,-104,-56,13,-30
