module,metric,unit,baseline,final,delta_final_minus_baseline,change_percent,latency_reduction_percent,latency_ratio_baseline_over_final,percent_status,baseline_source_id,final_source_id
Conv1,LUT,count,6987,5340,-1647,-23.57234864748819,,,DEFINED,R1,R3
Conv1,FF,count,1845,9221,7376,399.7831978319783,,,DEFINED,R1,R3
Conv1,DSP,count,25,49,24,96,,,DEFINED,R1,R3
Conv1,BRAM_18K,BRAM_18K,0,0,0,,,,NOT_APPLICABLE_BASELINE_ZERO,R1,R3
Conv1,latency_cycles,cycles,44945,17426,-27519,-61.228167760596286,61.228167760596286,2.5791920119361875,DEFINED,R1,R3
Conv2,LUT,count,1161,8822,7661,659.8621877691645,,,DEFINED,R2,R4
Conv2,FF,count,291,13556,13265,4558.4192439862545,,,DEFINED,R2,R4
Conv2,DSP,count,1,72,71,7100,,,DEFINED,R2,R4
Conv2,BRAM_18K,BRAM_18K,0,0,0,,,,NOT_APPLICABLE_BASELINE_ZERO,R2,R4
Conv2,latency_cycles,cycles,162818,12226,-150592,-92.4910022233414,92.4910022233414,13.31735645345984,DEFINED,R2,R4
