mode,sample_id,compared_outputs,max_abs_error,raw_mismatch,predicted_class,reference_argmax,ground_truth_label,pass_rule,reported_status,comparison_scope,log_source,reference_source
float,sample_00000,10,0.00000255442,,7,7,,max_abs_error <= 0.001 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_float_csim.log,provided_by_member6/m5/data/reference_float/sample_00000/logits.txt
float,sample_00001,10,0.00000320675,,2,2,,max_abs_error <= 0.001 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_float_csim.log,provided_by_member6/m5/data/reference_float/sample_00001/logits.txt
float,sample_00002,10,0.00000239389,,1,1,,max_abs_error <= 0.001 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_float_csim.log,provided_by_member6/m5/data/reference_float/sample_00002/logits.txt
float,sample_00003,10,0.0000035786,,0,0,,max_abs_error <= 0.001 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_float_csim.log,provided_by_member6/m5/data/reference_float/sample_00003/logits.txt
float,sample_00004,10,0.00000319344,,4,4,,max_abs_error <= 0.001 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_float_csim.log,provided_by_member6/m5/data/reference_float/sample_00004/logits.txt
fixed,sample_00000,10,,0,7,7,,raw_mismatch = 0 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_fixed_csim.log,provided_by_member6/m5/data/reference_fixed_raw/sample_00000/logits.txt
fixed,sample_00001,10,,0,2,2,,raw_mismatch = 0 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_fixed_csim.log,provided_by_member6/m5/data/reference_fixed_raw/sample_00001/logits.txt
fixed,sample_00002,10,,0,1,1,,raw_mismatch = 0 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_fixed_csim.log,provided_by_member6/m5/data/reference_fixed_raw/sample_00002/logits.txt
fixed,sample_00003,10,,0,0,0,,raw_mismatch = 0 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_fixed_csim.log,provided_by_member6/m5/data/reference_fixed_raw/sample_00003/logits.txt
fixed,sample_00004,10,,0,4,4,,raw_mismatch = 0 AND class equals reference_argmax,PASS,final_logits_only,provided_by_member6/m6/results/csim/accelerator_fixed_csim.log,provided_by_member6/m5/data/reference_fixed_raw/sample_00004/logits.txt
